"vh","wind","humidity","temp","ibh","dpg","ibt","vis","doy","target"
1.0,7.0,5.0,4.0,5.0,8.0,3.0,5.0,4.0,7.0
1.0,1.0,4.0,2.0,10.0,9.0,1.0,6.0,4.0,5.0
0.0,9.0,9.0,1.0,10.0,8.0,1.0,6.0,4.0,2.0
2.0,5.0,4.0,4.0,10.0,7.0,2.0,6.0,4.0,12.0
4.0,1.0,3.0,6.0,2.0,5.0,5.0,6.0,4.0,22.0
7.0,5.0,6.0,6.0,3.0,7.0,6.0,6.0,4.0,17.0
7.0,3.0,6.0,7.0,2.0,1.0,8.0,2.0,4.0,26.0
9.0,7.0,5.0,9.0,2.0,3.0,9.0,0.0,4.0,27.0
8.0,1.0,5.0,8.0,3.0,9.0,7.0,0.0,4.0,14.0
7.0,7.0,5.0,7.0,2.0,9.0,6.0,3.0,4.0,11.0
8.0,3.0,6.0,9.0,3.0,8.0,8.0,2.0,4.0,23.0
8.0,1.0,8.0,8.0,2.0,7.0,8.0,4.0,4.0,26.0
6.0,1.0,4.0,8.0,3.0,8.0,7.0,5.0,4.0,21.0
6.0,3.0,6.0,8.0,2.0,8.0,7.0,6.0,4.0,15.0
5.0,5.0,5.0,5.0,2.0,5.0,8.0,5.0,4.0,20.0
8.0,3.0,1.0,8.0,1.0,2.0,9.0,6.0,4.0,15.0
8.0,8.0,1.0,9.0,0.0,2.0,9.0,6.0,4.0,18.0
8.0,3.0,3.0,9.0,1.0,5.0,9.0,5.0,4.0,26.0
8.0,7.0,1.0,9.0,0.0,4.0,9.0,5.0,4.0,19.0
9.0,5.0,2.0,9.0,1.0,3.0,9.0,3.0,5.0,13.0
8.0,8.0,3.0,10.0,1.0,5.0,9.0,6.0,5.0,30.0
8.0,3.0,8.0,9.0,2.0,7.0,9.0,6.0,5.0,26.0
7.0,5.0,4.0,7.0,2.0,8.0,8.0,6.0,5.0,15.0
7.0,5.0,5.0,7.0,4.0,7.0,7.0,5.0,5.0,16.0
7.0,9.0,5.0,6.0,5.0,8.0,5.0,5.0,5.0,16.0
8.0,7.0,6.0,8.0,5.0,7.0,7.0,6.0,5.0,19.0
8.0,1.0,8.0,9.0,3.0,6.0,8.0,4.0,5.0,23.0
9.0,7.0,6.0,9.0,4.0,6.0,9.0,1.0,5.0,28.0
9.0,7.0,9.0,9.0,2.0,4.0,9.0,1.0,5.0,34.0
9.0,5.0,5.0,9.0,1.0,5.0,9.0,4.0,5.0,33.0
9.0,3.0,7.0,9.0,3.0,8.0,9.0,4.0,5.0,24.0
9.0,5.0,6.0,9.0,5.0,8.0,8.0,2.0,5.0,17.0
8.0,1.0,5.0,8.0,5.0,9.0,7.0,1.0,5.0,10.0
7.0,1.0,4.0,8.0,5.0,9.0,7.0,2.0,5.0,14.0
8.0,9.0,7.0,8.0,6.0,8.0,6.0,3.0,5.0,13.0
7.0,7.0,9.0,8.0,5.0,8.0,7.0,3.0,5.0,17.0
7.0,9.0,6.0,8.0,5.0,8.0,7.0,3.0,5.0,22.0
7.0,3.0,8.0,8.0,5.0,8.0,7.0,5.0,5.0,19.0
7.0,5.0,6.0,7.0,5.0,8.0,7.0,5.0,5.0,20.0
8.0,8.0,7.0,9.0,4.0,7.0,8.0,4.0,5.0,25.0
8.0,7.0,7.0,9.0,0.0,7.0,8.0,2.0,5.0,28.0
8.0,3.0,9.0,9.0,4.0,7.0,8.0,1.0,5.0,29.0
8.0,1.0,9.0,8.0,3.0,6.0,8.0,1.0,5.0,23.0
9.0,1.0,7.0,8.0,2.0,6.0,8.0,2.0,5.0,26.0
9.0,3.0,6.0,9.0,2.0,5.0,9.0,3.0,5.0,14.0
9.0,3.0,8.0,9.0,2.0,5.0,8.0,3.0,5.0,13.0
9.0,7.0,9.0,8.0,3.0,7.0,8.0,3.0,5.0,26.0
8.0,9.0,8.0,9.0,2.0,7.0,8.0,3.0,5.0,22.0
7.0,7.0,4.0,7.0,5.0,7.0,6.0,5.0,5.0,14.0
5.0,7.0,3.0,7.0,5.0,8.0,5.0,6.0,5.0,13.0
5.0,1.0,3.0,6.0,7.0,8.0,5.0,7.0,5.0,9.0
6.0,3.0,5.0,5.0,6.0,8.0,4.0,6.0,5.0,12.0
8.0,8.0,5.0,8.0,3.0,5.0,7.0,4.0,6.0,14.0
9.0,5.0,7.0,8.0,3.0,5.0,8.0,3.0,6.0,24.0
9.0,5.0,9.0,8.0,2.0,8.0,8.0,2.0,6.0,19.0
8.0,7.0,4.0,8.0,4.0,9.0,6.0,2.0,6.0,16.0
5.0,8.0,5.0,4.0,6.0,9.0,4.0,6.0,6.0,7.0
3.0,5.0,8.0,3.0,10.0,9.0,2.0,7.0,6.0,2.0
5.0,8.0,6.0,6.0,10.0,7.0,2.0,7.0,6.0,4.0
4.0,8.0,3.0,5.0,7.0,7.0,3.0,7.0,6.0,6.0
4.0,5.0,3.0,5.0,10.0,8.0,2.0,8.0,6.0,12.0
3.0,8.0,7.0,6.0,10.0,6.0,3.0,9.0,6.0,9.0
3.0,5.0,8.0,7.0,4.0,7.0,5.0,2.0,6.0,15.0
6.0,3.0,3.0,7.0,2.0,7.0,7.0,9.0,6.0,17.0
4.0,1.0,5.0,6.0,3.0,8.0,6.0,6.0,6.0,13.0
9.0,1.0,7.0,8.0,1.0,4.0,8.0,9.0,6.0,20.0
9.0,8.0,6.0,9.0,1.0,6.0,8.0,0.0,6.0,22.0
9.0,3.0,7.0,8.0,1.0,7.0,8.0,4.0,6.0,24.0
8.0,8.0,7.0,7.0,2.0,7.0,8.0,4.0,6.0,26.0
9.0,7.0,6.0,9.0,2.0,4.0,8.0,0.0,6.0,32.0
9.0,3.0,8.0,9.0,2.0,5.0,9.0,0.0,6.0,33.0
9.0,1.0,6.0,9.0,0.0,3.0,10.0,0.0,6.0,27.0
10.0,5.0,4.0,9.0,1.0,3.0,9.0,2.0,6.0,38.0
10.0,9.0,4.0,10.0,1.0,5.0,9.0,0.0,6.0,23.0
9.0,5.0,6.0,10.0,3.0,6.0,9.0,2.0,6.0,19.0
9.0,9.0,8.0,9.0,2.0,4.0,9.0,2.0,6.0,19.0
8.0,8.0,6.0,8.0,0.0,3.0,9.0,1.0,6.0,15.0
8.0,5.0,5.0,8.0,1.0,4.0,8.0,1.0,6.0,28.0
6.0,7.0,8.0,8.0,5.0,5.0,7.0,2.0,6.0,10.0
4.0,8.0,5.0,7.0,6.0,3.0,6.0,6.0,6.0,14.0
7.0,7.0,9.0,8.0,2.0,3.0,8.0,4.0,6.0,26.0
8.0,3.0,5.0,8.0,1.0,3.0,9.0,5.0,6.0,17.0
4.0,8.0,9.0,2.0,10.0,7.0,2.0,6.0,6.0,3.0
8.0,3.0,6.0,5.0,4.0,4.0,4.0,1.0,6.0,14.0
7.0,5.0,8.0,7.0,4.0,3.0,7.0,2.0,7.0,29.0
8.0,5.0,8.0,7.0,5.0,3.0,7.0,1.0,7.0,18.0
6.0,8.0,7.0,3.0,10.0,8.0,2.0,2.0,7.0,3.0
6.0,1.0,6.0,4.0,6.0,6.0,3.0,6.0,7.0,9.0
7.0,5.0,6.0,7.0,5.0,5.0,5.0,6.0,7.0,19.0
7.0,5.0,8.0,7.0,6.0,6.0,5.0,4.0,7.0,8.0
5.0,7.0,8.0,7.0,6.0,6.0,6.0,2.0,7.0,23.0
6.0,7.0,7.0,7.0,6.0,6.0,6.0,1.0,7.0,13.0
6.0,5.0,9.0,5.0,5.0,4.0,5.0,4.0,7.0,7.0
5.0,9.0,7.0,4.0,10.0,7.0,2.0,5.0,7.0,3.0
6.0,9.0,9.0,4.0,10.0,6.0,2.0,5.0,7.0,5.0
5.0,5.0,8.0,5.0,0.0,5.0,6.0,6.0,7.0,11.0
4.0,3.0,6.0,4.0,5.0,4.0,4.0,5.0,7.0,12.0
1.0,5.0,10.0,5.0,10.0,5.0,2.0,2.0,7.0,5.0
1.0,8.0,3.0,5.0,10.0,5.0,2.0,6.0,7.0,4.0
1.0,1.0,6.0,4.0,10.0,6.0,1.0,7.0,7.0,5.0
2.0,7.0,5.0,3.0,10.0,6.0,1.0,7.0,7.0,4.0
4.0,7.0,5.0,4.0,6.0,4.0,4.0,7.0,7.0,10.0
8.0,3.0,7.0,7.0,2.0,3.0,7.0,2.0,7.0,17.0
9.0,1.0,8.0,7.0,1.0,2.0,8.0,1.0,7.0,26.0
9.0,5.0,9.0,7.0,2.0,2.0,8.0,1.0,7.0,30.0
9.0,3.0,7.0,7.0,1.0,0.0,9.0,0.0,7.0,18.0
9.0,5.0,0.0,7.0,10.0,0.0,6.0,3.0,7.0,12.0
9.0,7.0,0.0,7.0,10.0,1.0,7.0,8.0,7.0,7.0
8.0,1.0,7.0,8.0,0.0,3.0,8.0,7.0,7.0,15.0
7.0,5.0,8.0,7.0,2.0,5.0,8.0,0.0,7.0,12.0
7.0,9.0,8.0,7.0,0.0,2.0,9.0,0.0,7.0,7.0
8.0,5.0,9.0,7.0,1.0,3.0,9.0,0.0,7.0,28.0
7.0,5.0,8.0,7.0,3.0,4.0,8.0,0.0,7.0,22.0
6.0,8.0,5.0,6.0,6.0,5.0,5.0,1.0,7.0,18.0
7.0,3.0,8.0,6.0,5.0,3.0,6.0,2.0,7.0,14.0
6.0,5.0,6.0,6.0,4.0,4.0,7.0,0.0,7.0,24.0
3.0,3.0,9.0,5.0,10.0,5.0,3.0,3.0,7.0,10.0
5.0,5.0,8.0,5.0,5.0,2.0,6.0,1.0,8.0,14.0
4.0,8.0,2.0,3.0,5.0,2.0,6.0,2.0,8.0,9.0
2.0,9.0,8.0,5.0,6.0,4.0,4.0,2.0,8.0,12.0
2.0,7.0,8.0,3.0,10.0,4.0,2.0,3.0,8.0,7.0
1.0,3.0,5.0,3.0,10.0,3.0,2.0,1.0,8.0,7.0
4.0,3.0,8.0,4.0,5.0,5.0,3.0,1.0,8.0,6.0
7.0,5.0,6.0,1.0,4.0,4.0,5.0,1.0,8.0,13.0
6.0,1.0,1.0,3.0,10.0,0.0,2.0,1.0,8.0,5.0
4.0,5.0,1.0,3.0,10.0,1.0,2.0,9.0,8.0,3.0
6.0,7.0,0.0,4.0,10.0,1.0,3.0,7.0,8.0,7.0
7.0,8.0,3.0,4.0,5.0,3.0,4.0,6.0,8.0,8.0
4.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,8.0,10.0
8.0,0.0,1.0,5.0,1.0,2.0,7.0,4.0,8.0,12.0
9.0,1.0,1.0,7.0,0.0,0.0,9.0,6.0,8.0,6.0
8.0,8.0,0.0,6.0,10.0,1.0,4.0,9.0,8.0,5.0
8.0,0.0,2.0,6.0,1.0,1.0,8.0,0.0,8.0,20.0
7.0,0.0,2.0,6.0,0.0,2.0,7.0,1.0,8.0,14.0
5.0,0.0,7.0,4.0,4.0,4.0,5.0,0.0,8.0,16.0
2.0,3.0,5.0,1.0,10.0,5.0,1.0,7.0,8.0,5.0
0.0,9.0,3.0,0.0,10.0,4.0,1.0,5.0,8.0,3.0
1.0,1.0,3.0,2.0,10.0,5.0,1.0,9.0,8.0,5.0
2.0,1.0,6.0,1.0,10.0,8.0,1.0,7.0,8.0,1.0
7.0,5.0,3.0,3.0,10.0,1.0,3.0,2.0,8.0,5.0
8.0,0.0,1.0,4.0,10.0,0.0,5.0,6.0,8.0,4.0
9.0,0.0,1.0,5.0,10.0,0.0,4.0,6.0,8.0,11.0
8.0,5.0,2.0,5.0,4.0,1.0,7.0,7.0,8.0,6.0
5.0,1.0,2.0,6.0,0.0,3.0,7.0,0.0,8.0,8.0
6.0,0.0,8.0,6.0,2.0,3.0,6.0,1.0,8.0,14.0
5.0,0.0,9.0,5.0,3.0,2.0,6.0,0.0,8.0,18.0
5.0,0.0,9.0,5.0,3.0,2.0,6.0,0.0,8.0,12.0
4.0,0.0,9.0,4.0,1.0,1.0,7.0,0.0,8.0,9.0
5.0,5.0,8.0,5.0,2.0,2.0,6.0,0.0,8.0,7.0
6.0,5.0,5.0,4.0,4.0,3.0,5.0,0.0,8.0,14.0
4.0,7.0,3.0,4.0,10.0,8.0,1.0,2.0,9.0,4.0
1.0,9.0,0.0,0.0,10.0,0.0,0.0,6.0,9.0,3.0
4.0,0.0,0.0,0.0,10.0,0.0,1.0,4.0,9.0,3.0
5.0,3.0,0.0,1.0,5.0,0.0,3.0,8.0,9.0,3.0
7.0,0.0,0.0,2.0,4.0,0.0,5.0,6.0,9.0,3.0
7.0,0.0,0.0,2.0,10.0,0.0,3.0,7.0,9.0,3.0
8.0,1.0,0.0,2.0,6.0,0.0,4.0,7.0,9.0,3.0
7.0,0.0,1.0,4.0,0.0,1.0,7.0,7.0,9.0,3.0
4.0,0.0,5.0,3.0,5.0,5.0,3.0,3.0,9.0,6.0
2.0,0.0,2.0,2.0,3.0,1.0,4.0,2.0,9.0,6.0
5.0,3.0,0.0,1.0,5.0,0.0,4.0,9.0,9.0,5.0
7.0,1.0,0.0,2.0,6.0,1.0,5.0,7.0,9.0,3.0
4.0,0.0,1.0,5.0,2.0,2.0,5.0,9.0,9.0,4.0
2.0,0.0,3.0,0.0,10.0,3.0,1.0,1.0,9.0,7.0
4.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,9.0,5.0
6.0,5.0,0.0,1.0,10.0,0.0,3.0,2.0,9.0,5.0
5.0,1.0,0.0,2.0,10.0,0.0,3.0,6.0,9.0,4.0
4.0,0.0,0.0,2.0,10.0,1.0,2.0,6.0,9.0,3.0
3.0,0.0,0.0,2.0,10.0,1.0,2.0,2.0,9.0,2.0
4.0,1.0,0.0,3.0,2.0,0.0,7.0,7.0,9.0,5.0
5.0,0.0,0.0,2.0,10.0,0.0,2.0,5.0,9.0,3.0
1.0,3.0,0.0,3.0,10.0,1.0,2.0,6.0,9.0,4.0
1.0,0.0,3.0,1.0,6.0,2.0,1.0,6.0,9.0,4.0
1.0,0.0,2.0,2.0,10.0,3.0,1.0,2.0,9.0,6.0
2.0,1.0,2.0,1.0,10.0,1.0,1.0,2.0,9.0,6.0
1.0,5.0,0.0,1.0,10.0,1.0,1.0,6.0,9.0,3.0
2.0,3.0,0.0,2.0,10.0,1.0,1.0,9.0,9.0,4.0
2.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0,9.0,3.0
1.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,9.0,8.0
3.0,1.0,2.0,2.0,0.0,2.0,7.0,7.0,9.0,2.0
2.0,1.0,1.0,2.0,10.0,0.0,2.0,2.0,9.0,3.0
1.0,1.0,4.0,2.0,6.0,4.0,1.0,1.0,9.0,5.0
0.0,3.0,9.0,0.0,10.0,3.0,0.0,4.0,10.0,1.0
