"cap-shape","cap-surface","cap-color","bruises%3F","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","habitat","target"
"x","s","n","f","n","f","w","b","AnokM0xKWB","t","4ALWjXBWoK","f","s","w","w","MgPw53Vf5H","w","o","e","n","s","g","e"
"x","y","w","t","p","f","c","n","w","e","Bmk27FBdsT","s","s","w","w","p","w","o","p","k","s","g","p"
"f","f","g","f","VEcVJYyH5S","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u","e"
"x","f","g","f","n","f","w","b","YEoDtwXMK4","t","e","s","s","w","w","p","w","4XabZ2tLDi","e","n","s","g","e"
"x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g","e"
"x","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g","e"
"b","s","w","t","a","f","YMJkC1YoFw","b","w","e","c","s","s","w","w","p","w","o","4c5RYj7xdK","k","s","g","e"
"x","s","w","t","l","f","c","WNegSbEjJ9","n","e","c","hAm5XzPY5q","s","w","w","p","w","o","p","n","s","g","e"
"f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g","e"
"s","f","n","f","n","f","c","n","Zt2YTVOEg9","e","e","s","s","w","w","p","w","o","p","n","v","u","e"
"x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u","e"
"b","s","w","CHPDi9ptQv","l","f","c","b","k","e","c","0xmD53h38o","s","w","w","p","w","o","p","k","s","g","e"
"x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g","e"
"x","y","y","t","l","f","c","b","g","e","c","s","080rZ5d82k","w","w","p","w","o","p","k","n","m","e"
"x","s","n","f","n","f","w","b","n","t","e","s","s","yevngLB97M","w","p","w","o","e","n","a","g","e"
"x","s","w","t","a","f","c","b","g","6Nv35Bpzab","c","s","s","w","w","8Ia5eqtvWd","w","o","p","n","s","g","e"
"f","y","n","t","l","f","c","KEw8yqn3we","p","e","r","s","y","w","w","p","w","o","p","n","s","g","e"
"x","s","y","t","a","f","c","b","n","e","RSchQGlt0T","s","s","w","w","p","w","o","p","k","n","g","e"
"b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"4iHxKpHJlE","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g","e"
"x","f","n","f","n","f","w","b","p","t","e","f","Y1uA76g8dN","w","w","p","w","o","e","k","s","g","e"
"b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g","e"
"f","y","y","t","l","QDGvqwOqGU","c","b","w","e","r","s","y","o2WJXnP8Dn","4aHmxEkz4d","p","w","o","7V7UWKRJSI","n","s","g","e"
"x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p","e"
"b","y","w","T4vgRGrjvx","l","f","c","TOLBWf2Bhh","g","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"x","y","y","t","a","f","lR8L3u2kMf","b","n","1zVqWft4TG","c","s","s","w","w","p","w","o","p","k","n","m","e"
"x","y","9qBLvTKTGP","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","XhiUHk1ekP","y","g","e"
"b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m","e"
"b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"x","s","nsEvu9Pn1a","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m","e"
"x","s","y","t","l","f","c","b","w","e","c","5Btenvy8UJ","s","qOBHGWu7Zu","w","p","w","o","p","k","n","g","e"
"s","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u","e"
"x","f","w","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d","e"
"x","s","y","t","a","qYiJCN1Mre","c","b","n","Vd1JVqkoIl","c","s","s","w","w","p","w","o","p","k","n","m","e"
"x","y","w","t","p","th3XZzq0l5","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u","p"
"x","y","y","t","l","f","c","b","TUPWdYDzgc","e","r","s","y","w","w","p","w","o","p","n","s","g","e"
"s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","y","u","e"
"x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g","e"
"x","s","y","t","l","f","w","n","p","t","OKxwzDFIQv","s","s","w","w","p","w","o","p","u","v","d","e"
"s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","HHYgmwWUWq","n","y","u","e"
"x","s","w","nA9ET9cyvv","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","CLFJY1Wcta","p"
"x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m","e"
"f","y","n","t","p","f","c","n","p","e","e","s","s","w","8OtP09SLRl","p","w","o","p","k","v","g","p"
"f","s","g","mLnL0MNS9w","n","f","w","b","k","t","e","s","3WRXlwBR2J","w","w","p","w","o","e","n","a","g","e"
"x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"x","s","jdLb7F6Hhz","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g","e"
"b","s","y","t","a","f","9fkrKr3FVx","b","w","e","c","s","s","w","w","p","w","o","p","n","n","llyqtrjkZV","e"
"f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","6m76q1329g","o","e","n","a","phkk1hRmR3","e"
"x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g","e"
"b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"b","y","w","qnBg3P9ewv","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"f","s","w","t","l","f","w","n","w","t","b","s","s","FegaPS4yJ1","w","6JFTDaiwfG","w","o","p","u","v","d","e"
"x","y","y","t","l","f","c","b","g","e","c","s","QHPEPMyj9Z","w","w","p","LCUi7td17Z","o","p","k","1k2ree1Eb7","m","e"
"f","s","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d","e"
"x","y","w","t","p","f","c","n","w","BywfKYNIfl","e","s","s","w","w","p","w","o","p","n","v","u","p"
"f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d","e"
"x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"x","s","SBXzwcQF6Z","t","p","f","c","Xqa4PpSLsy","p","e","e","s","s","w","w","p","w","o","p","n","v","g","p"
"b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"WgWgG0vEiG","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","p","e"
"b","y","y","t","l","f","c","WAFGOwjJhY","g","e","c","s","s","OqmZKA75W9","w","p","w","o","p","k","n","m","e"
"s","f","n","f","n","f","c","n","k","e","e","s","s","w","Eiac0iQpqD","p","w","o","p","n","v","u","e"
"f","y","n","t","a","f","c","b","w","e","91MkMmmgY6","s","y","w","l4EMU7x3X4","p","w","o","p","k","y","p","e"
"x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","orTIU8J32c","k","n","g","e"
"x","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g","e"
"f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","g","e"
"x","y","y","t","l","f","c","b","w","e","o6ibx1Ekqd","s","s","w","w","p","w","o","p","n","n","m","e"
"b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","g","e"
"b","y","w","t","3o80SVO6ME","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m","e"
"x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g","e"
"x","y","w","t","l","f","OIw1MVSRKP","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"s","f","n","f","n","f","c","fSwVUky3bp","k","e","e","s","s","XXTahL8RPk","w","p","w","o","p","k","v","u","e"
"x","IpolThxJdb","w","t","a","f","w","n","w","t","b","s","s","w","w","p","w","iyiceq5Za6","gRY8tJdowD","u","v","d","e"
"x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","hNnWeav8JU","p","k","s","g","e"
"b","y","y","BzonUZYdmQ","a","f","c","b","k","e","c","s","s","w","w","p","w","o","qiXI2DusKG","n","n","g","e"
"rqkWORGMPy","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"b","y","w","t","a","f","c","b","n","e","c","s","49vDKbpirI","w","w","p","w","o","p","k","s","m","e"
"b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g","e"
"b","s","y","t","l","f","c","b","g","e","p5TbkNUU9U","s","s","w","w","p","w","o","p","k","s","m","e"
"b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g","e"
"x","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","u","e"
"f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","g","e"
"x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"f","y","y","t","l","f","c","b","w","IXIQd54dRZ","r","s","CtL8CmR9zQ","w","TMeFWv7uu7","p","w","o","p","n","y","p","e"
"b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"b","s","w","t","a","f","c","b","w","e","c","s","hDdyJAxjiN","w","w","eXYEjo18xN","w","ocWklsEsEK","p","k","s","m","e"
"x","QWg0Qv2fLG","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g","e"
"b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","tp44cbcCIc","g","e"
"x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","u","e"
"b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"x","f","y","t","l","f","w","n","n","t","b","s","s","w","w","p","w","NVyUd0MtwW","p","u","v","d","e"
"b","y","y","UR1rNvhurP","a","f","c","b","w","e","c","s","s","w","w","p","w","o","frvJrCGAyM","dtrvt6uV1e","s","g","e"
"f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","g","e"
"b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","m","e"
"b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m","e"
"b","y","y","t","a","f","4d2JzHXR5B","b","g","e","c","s","s","w","w","p","w","oNJRnh02sb","p","n","s","g","e"
"x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m","e"
"b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u","p"
"s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","9SIHKzXOSE","n","y","u","e"
"f","LFuLD1wlpa","n","Qn5bYcIJuF","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","v","u","e"
"x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","p","e"
"x","mDwrHtsmSA","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","jP3bdHHCA7","g","p"
"b","s","w","i1pArlpomr","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"f","eu4Cgs0wyo","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","u","e"
"b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","p","e"
"x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g","e"
"x","s","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d","e"
"b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"f","L6rbETTZMf","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d","e"
"x","a13VTrLdIQ","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m","e"
"f","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","u","e"
"b","s","y","t","a","f","c","b","n","2OFujBsmq5","c","s","s","w","w","p","w","o","p","04Y1hYo0Zi","s","g","e"
"x","s","w","t","l","f","c","b","g","e","c","s","s","w","UIGN8z0U0V","p","w","o","p","n","n","m","e"
"x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"A5PrJtwxIv","s","w","t","a","f","w","n","n","t","b","e4P5yGr6Zx","s","w","w","p","w","o","p","n","v","d","e"
"x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"b","s","w","t","l","f","c","13dkbsfVVi","w","e","c","s","s","w","w","p","w","o","Eo27058NA5","k","s","g","e"
"x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","g","e"
"x","f","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g","e"
"f","y","n","t","l","f","c","b","n","e","0PinhxUKpa","s","y","w","w","p","w","o","p","k","y","p","e"
"x","s","w","t","p","f","c","n","ca5VOboz8M","e","e","s","s","w","w","p","w","AHdAK1jMQF","p","n","v","u","p"
"b","s","w","t","a","lhMgibp3gR","eYiJK8aUEy","b","n","e","YevtkOBCLv","s","s","w","Wrc4qffaY7","p","w","o","p","n","n","g","e"
"b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","fFXhmxrlQi","e"
"b","y","w","t","l","f","c","b","n","e","CXyA68mxjF","s","s","w","w","p","w","o","p","fOgTH9wSvO","n","g","e"
"b","y","w","t","a","DfFEwkbw44","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g","e"
"x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g","e"
"b","s","w","t","l","f","9D6XLMFylA","b","w","e","c","s","s","w","w","p","w","o","p","k","n","m","e"
"x","f","y","t","a","f","w","n","n","t","b","uw2VmeqIKe","s","w","w","VblBBnODDL","w","oB6a7ZOmwJ","p","n","v","d","e"
"x","f","g","f","n","f","c","n","n","e","e","s","0CcMaf1Xzc","w","w","p","w","o","p","n","fxgcGuTHRn","u","e"
"f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","V5AbANMEyJ","p","4NJyI4qjJO","s","g","e"
"b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","hfLDhNY2UY","o","p","k","n","m","e"
"x","s","y","t","a","f","c","b","g","gmF7Cf2E3u","c","s","s","w","w","p","w","o","p","k","s","g","e"
"x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","gvSsNfhqW4","g","e"
"x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","6lbk2QaYSl","w","o","p","n","s","g","e"
"s","f","g","f","n","f","c","n","p","e","e","s","s","w","Qd5cQKh7u2","p","w","o","p","n","AhHXHu0n8p","u","e"
"x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m","e"
"x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","g","p"
"x","y","y","t","a","f","d6AwLPrK1Y","b","n","e","r","Yuvi3B8OWi","y","w","w","p","w","o","tESSoJtpJo","n","s","g","e"
"f","76DnyeAq7Y","w","t","a","f","w","n","p","t","b","ImS0rCArN9","s","w","w","p","w","LkMNTicDKZ","p","n","v","d","e"
"x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m","e"
"b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g","e"
"Zs1IhuSGnY","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"x","s","y","t","7gvSvpuloq","f","c","b","g","e","c","s","4law7bPg2a","w","w","p","w","o","p","n","s","g","e"
"x","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","Z0XzQXX7Lk","p"
"b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","KohCeEUtKT","p","n","n","g","e"
"9BdSyjTBFn","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","y","u","e"
"x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","9hXjVXOf0a","w","o","p","k","l4Tw2R5jqg","u","p"
"x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","p","e"
"f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u","e"
"b","s","w","mGl8kGM2Gm","l","f","c","b","k","PH6E849hgU","c","s","s","w","w","p","w","o","p","n","n","g","e"
"x","f","w","t","l","f","w","n","w","t","b","s","s","w","w","tyZRvzmf7F","w","o","p","n","v","d","e"
"x","y","w","t","l","f","c","b","M6zQtceVGY","e","c","s","s","w","w","p","w","o","p","k","s","g","e"
"3xk3S1uUCs","y","y","t","l","f","c","b","n","e","c","s","s","w","vJByetNNGg","p","w","o","p","n","s","g","e"
"x","y","aaGKMiSrhr","t","l","f","c","b","LrxDehdGzT","e","r","s","y","w","w","p","w","o","p","k","s","g","e"
"f","y","y","t","a","f","c","b","p","KeLtvu6e77","r","s","y","w","w","p","w","o","p","k","s","p","e"
