"Name","Short description","Gender","Country","Occupation","Birth year","Death year","Manner of death","target"
"","","","Chile","",1850.0,"","",51.0
"","","","","","","","",77.0
"","","","","","","","",51.0
"","","","","","","","",64.0
"","","","","","","","",59.0
"","","","","","","","",93.0
"","","","","Politician","","","",52.0
"José Joaquín Pérez","","","","","","","",88.0
"","","","","","","","",71.0
"","","","","","","","",67.0
"","Militar, Chilean politician and President (1786-1854)","","","","","","",68.0
"","","","Argentina","","","","",86.0
"","","","","","","","",64.0
"","","","","","","","",73.0
"","","","","","","","",65.0
"Antonio Vivaldi","","","","","","","",63.0
"","","","","","","","natural causes",62.0
"","","","","","","","",54.0
"","","","","","","","",58.0
"","","","","","","","",70.0
"","","","","","","","",62.0
"","","","","","","","",69.0
"","","","","","","","natural causes",72.0
"","","","","","","","",74.0
"","Philippine politician and President (1933-2009)","","","","",2009.0,"",76.0
"","","","","","","","",36.0
"","","","","","","","",41.0
"","","","Philippines","","","","",35.0
"","","","","","","","",66.0
"","","","","","","","",70.0
"","","","","","","","",44.0
"","","","","","","","",27.0
"","","","","","","","",90.0
"","","","","","","","",62.0
"","","","","","","","",51.0
"","","","","","","","",79.0
"","","","","","","","",65.0
"","","Male","","","","","",61.0
"","","","","","","","",82.0
"","","","","","","","",72.0
"","","","","","","","",94.0
"David Cecil, 6th Marquess of Exeter","","","","","","","",76.0
"","","","","","","","",48.0
"","","","","",1902.0,"","",83.0
"","","","","","","","",76.0
"Françoise Sagan","","","","","","","",69.0
"","","","","","","","",49.0
"","","","","","","","",63.0
"","","Female","","","","","",79.0
"","","","","","","","",77.0
"","American jazz trumpeter, composer and singer","","","","","","",71.0
"","","","","","","","",94.0
"","","","","","","","",74.0
"","","","","","","","",51.0
"","Burgundian cleric, politician, jurist, and advisor to Charles V, Holy Roman Emperor (1469-1544)","","","","","","",75.0
"","","","","","","","",55.0
"","","Male","","","","","",34.0
"","","","","","","","",67.0
"","","","","","","","",76.0
"","","","United States of America","","","","",71.0
"","","","","","","","",42.0
"","","","France","","","","",80.0
"","","","","","","","",60.0
"","","","","","","","",80.0
"","","","","","","","",84.0
"","","","","","","","",37.0
"","","","","","","","",30.0
"","","","","","","","",87.0
"","","","","","","","",69.0
"","","","","","","","",94.0
"","","","","","","","",88.0
"","","","","","","","",63.0
"","","","","","","","",42.0
"","","","","","","","natural causes",49.0
"","","","","","","","accident",59.0
"","","","","","","","",69.0
"","","","","","","","",91.0
"","","","","","","","",80.0
"","","","","","","","",84.0
"","","","","",1913.0,"","",79.0
"","","","","","","","",97.0
"","","","","","","","",87.0
"","","","","","","","",75.0
"","","","","","","","",83.0
"","","","","","","","",43.0
"","","","","","","","",95.0
"","","","","","","","",78.0
"","","","","Politician","","","",97.0
"","","","","","","","",77.0
"","","","","","","","",78.0
"","","","","","","","",79.0
"","","","","","","","",83.0
"","260th Pope of the Catholic Church","","","","","","",82.0
"","","","","","","","",82.0
"","","","","","","","",85.0
"","","","","","","","",80.0
"","","Male","","","","","",58.0
"","","","","","","","",54.0
"","","","","","","","",61.0
"","","","","Politician","","","",87.0
"","","","","","","","",82.0
"","","","","","","","",69.0
"","","","","","","","",53.0
"","","","","","","","",40.0
"","","","","","","","",61.0
"","","","","","","","",66.0
"","","","","","","","",51.0
"","","","","","","","",44.0
"","","","United Kingdom of Great Britain and Ireland","","","","",84.0
"Amy Johnson","","","","","","","",38.0
"","","","","","","","",72.0
"","","","","","","","",66.0
"","","","","","","","",84.0
"","","","","","","","",91.0
"","","","","","","","",57.0
"","","","","","","","",67.0
"","","","","","","","",29.0
"","","","United States of America","","","","",81.0
"","","","","","","","",46.0
"","","","United Kingdom","","",1968.0,"",32.0
"","","","","","","","",83.0
"","","","","","","","",76.0
"","","","","","","","",56.0
"","","Male","","","","","",83.0
"","","","","","","","",64.0
"","Austrian racing driver","","","","","","",28.0
"","","","","","",1879.0,"",67.0
"","","","","","","","",83.0
"","","","","","","","",52.0
"","","","","","","","",66.0
"","","","","","","","",55.0
"","","","","","","","",45.0
"","","Male","","","","","",36.0
"","","","","","","","",93.0
"","","","","","","","",53.0
"","","","","","","","",61.0
"","","","","","","","",60.0
"","","","","","","","",47.0
"","","","","","","","",62.0
"","","Male","","","","","",52.0
"","","","","","","","",66.0
"","","Female","","","","","",40.0
"","","","","","","","",51.0
"","","","","","","","",42.0
"","","","","","","","",54.0
"","","","","","","","",20.0
"","","","","","","","",40.0
"","","","","","","","",84.0
"","","","","","","","",83.0
"","","","France","","","","",47.0
"","","","","","","","",72.0
"","","Male","","","","","",90.0
"","","","","","","","",79.0
"Grace Kelly","","Female","","","","","",53.0
"","","","","","","","",74.0
"","","","","Sovereign","","","",39.0
"","","","","","","","unnatural death",64.0
"","","Male","","","","","",92.0
"","","","Egypt; Ancient Egypt","","","","",52.0
"","","","","","","","",75.0
"","American singer-songwriter and folk musician","","","","","","",55.0
"","","","","","","","",55.0
"","","","France","","","","",85.0
"","","","","","","","",74.0
"","","","","","","","",42.0
"","","","","","","","",48.0
"","","","","","","","",74.0
"","","","","","","","",47.0
"","","","","","","","",45.0
"","","","","","","","",69.0
"","","","","","","","",24.0
"","","","","","","","",63.0
"","","","","","","","",46.0
"","","","","","","","",85.0
"","","","","","","","",60.0
"","","","","","","","",56.0
"Andreas Capellanus","","","","","","","",70.0
"","","","France","","","","",60.0
"","","","","","","","",78.0
"","","","","","","","",56.0
"","","","","","","","",69.0
"","","","","","","","",68.0
"","","","","Researcher","","","",68.0
"","","","","","","","",75.0
"","","","","","","","",85.0
"","","","","","","","",75.0
"","","","","","","","",92.0
"","","","","",1925.0,"","",88.0
"","","","","","","","",90.0
"","","","","","","","",16.0
"","","","","",1944.0,"","",47.0
"","","","","","","","",73.0
"","French actress","","","","","","",79.0
"","","","","","","","",91.0
"","","","","","","","",36.0
"","","","","","","","",83.0
"","","","","","","","",68.0
"Mary Stewart","","","","","",1488.0,"",35.0
"","","","","","","","",65.0
"","","","","","","","",88.0
"","","","","","","","",75.0
"","","","","","","","",68.0
"","","","","","","","",56.0
"","","","","","","","",26.0
"","","","","","","","",29.0
"","","","","","","","",78.0
"","","","","",1753.0,"","",44.0
"","","","","","","","",67.0
"","","","","","","","",68.0
"","professor","","Hungary","","","","",31.0
"","","","","","","","",52.0
"","","","","","","","",22.0
"","","","","","","","",46.0
"","","","","","","","",53.0
"","","","","","","","",85.0
"","","","Hungary","","","","",78.0
"","","","","","","","",70.0
"","","","","","","","",93.0
"","","","","","","","",66.0
"Rosa Valetti","","","","","","","",59.0
"","","","","","","","",59.0
"","","","","","",1926.0,"",65.0
"","","","","","","","",57.0
"","","","","","","","",60.0
"","","","","","","","",37.0
"","","","","","","","",36.0
"","","","","","","","",64.0
"","","","","","","","",72.0
"","","","","","","","",72.0
"","","","","","","","",54.0
"","","","","","","","",45.0
"","","Male","","","","","",32.0
"","","","","","","","",""
"","","","","","","","",38.0
"","","","","","","","",34.0
"","","","","","","","",59.0
"Emperor Xingzong of Liao","","","","","",1055.0,"",39.0
"","","","","",1032.0,"","",69.0
"","","","","","","","",53.0
"Elder Paisios of Mount Athos","","","","","",1994.0,"",70.0
"","","","","Condottiero","",1123.0,"",55.0
"","","","","","","","",33.0
"","","","","","","","",60.0
"","","","","","","","",31.0
"","emperor of the Jin Dynasty (1115–1234)","","","","","","",39.0
"","","","","","","","",66.0
"","","","","","","","",40.0
"","","","","","","","",45.0
"","","","","","","","",61.0
"","","","","","","","",36.0
"","","","","","","","",57.0
"","","","","","","","",39.0
"","","Male","France","","","","",45.0
"","","","","",1135.0,"","",66.0
"","","","People's Republic of China; Qing dynasty","","","","",83.0
"","","","","","","","",82.0
"","","Male","","","","","",43.0
"","","","","","","","",23.0
"","","","","","","","",65.0
"","","","","","",1160.0,"",65.0
"","","","","","","","",75.0
"","","","Germany; German Reich","","",1995.0,"",92.0
"","","","","","","","",78.0
"","","","","","",2010.0,"",73.0
"","","","","","","","",88.0
"","","Male","","","","","",57.0
"","","","","","","","",55.0
"","","","","","","","",89.0
"","","","","","","","",84.0
"","","","France","","","","",64.0
"","","","","","","","",59.0
"","","","","","",1210.0,"",60.0
"","patron of troubadour poetry","","","","","","",42.0
"","","","","","","","",90.0
"","","","","","","","",40.0
"","","","","","","","",32.0
"","","","","","","","",74.0
"","","","","","","","",69.0
"","","","","","","","",64.0
"","","","","","",1828.0,"",82.0
"Greta Garbo","","","","","","","",85.0
"","","","Italy","","","","",61.0
"","","","","","","","",76.0
"","","","","","","","",93.0
"","","","","","","","",65.0
"","","","","","","","",97.0
"Bartolomeo Coghetto","","Male","","","","","",86.0
"","","","","","","","",44.0
"","","","","","","","",85.0
"","","","","","","","",57.0
"","","","","","","","",61.0
"","","","Netherlands","","","","",37.0
"","","","","","","","",82.0
"Katsushika Hokusai","","","","","","","",89.0
"","","","","","","","",47.0
"","","","","","","","",85.0
"","","","","","","","",59.0
"Michelangelo","","","","","","","",89.0
"","","","","","","","",92.0
"","","","","Artist","","","",49.0
"","","","","","","","",37.0
"","","","","","",1669.0,"",63.0
"","","","","","","","",63.0
"Andy Warhol","","","","","","","",59.0
"","","","","","","","",92.0
"","","","","","","","",28.0
"","","","","","","","",52.0
"","","","","","",1127.0,"",68.0
"","","","","","","","",74.0
"","","","","","","","",54.0
"","","","","",1170.0,"","",78.0
"","","","","","","","",49.0
"","","","","","","","",63.0
"","","","","","","","",44.0
"Conon de Béthune","","","","Artist","","","",69.0
"","","","","Researcher","","","",67.0
"","","","","","","","",55.0
"","","","","","","","",65.0
"","","","","","",814.0,"",58.0
"","","","","","","","",70.0
"","","","","","","","",50.0
"","","","","","","","",36.0
"","","","","","","","",75.0
"","","","","","","","",69.0
"","","","","","","","",57.0
"","","","","","","","",44.0
"","","","","Artist","","","",58.0
"","","","","","","","",95.0
"","","","","","","","",80.0
"","","Male","","","","","",56.0
"","","","","","","","natural causes",79.0
"","","","","",1928.0,"","",39.0
"Masaccio","","","","",1401.0,"","",27.0
"Mao Zedong","","","","","","","",83.0
"","","","","","","","",77.0
"","","","","","",1523.0,"",75.0
"","","","","","","","",87.0
"","","","","","","","",83.0
"","","","","","","","",81.0
"","","","","","","","",91.0
"","","","","","","","",28.0
"","","","","","","","",73.0
"","","","","","","","",22.0
"","","","","","","","",23.0
"","","","","","","","",57.0
"","","Male","","",1254.0,"","",70.0
"","","","","",1929.0,"","",83.0
"","","","","","","","",25.0
"","","","Ancient Egypt","","","","",84.0
"","","","","","","","",21.0
"","","","","","","","",63.0
"","","","","","","","",82.0
"","","","","","","","",41.0
"","","","","","","","",42.0
"","","","","","","","",57.0
"","","","","","","","",66.0
"","","","","","","","",85.0
"","","","","","","","",88.0
"","","","","","","","",51.0
"","","","","","",1859.0,"",90.0
"","","","","","","","",78.0
"","","","","","","","",71.0
"","","","","","","","",73.0
"","","","","","","","",78.0
"","","","","","","","",95.0
"","","","","",1882.0,"","",59.0
"","","","","","",1523.0,"",73.0
"","","","","","","","",42.0
"","","","","",701.0,"","",61.0
"","Danish physicist (1885-1962)","","","","","","",77.0
"","","","","","","","",21.0
"","","Female","","","","","",53.0
"","","","","Researcher","","","",55.0
"","","","","","","","",66.0
"","","","","","","","",65.0
"","","","","","","","",65.0
"","","","","","","","",58.0
"","","","","","","","",67.0
"","","","","","","","",22.0
"","","Female","","","","","",78.0
"","","","","","","","",51.0
"","","","","","","","",38.0
"","","","","","","","",91.0
"","","","","",-300.0,"","",94.0
"","","","","","","","",70.0
"","","","","","","","",61.0
"","","","","Sovereign","","","",22.0
"","","","","","","","",45.0
"","","","","","","","",47.0
"","","","Western Han Dynasty","","","","",69.0
"","","Female","","","","","",19.0
"","emperor of the Han Dynasty","","","","","","",20.0
"","","Male","","","","","",33.0
"","","","","","","","",78.0
"","","Male","","Monarch","","","",42.0
"","","","","","","","",48.0
"","","","","","","","",42.0
"","","","","","","","",44.0
"","","","","","","","",93.0
"","","","","","","","",26.0
"","","","","","","","",80.0
"","","Male","","","","","",82.0
"","","","","","","","homicide",15.0
"","","","","","","","",75.0
"","","","","","","","",20.0
"","","","","","","","",73.0
"","","","","","",23.0,"",68.0
"","","","","","","","",42.0
"","","","","","","","",37.0
"","","","","","","","",89.0
"","","","United Kingdom; United Kingdom of Great Britain and Ireland","","","","",75.0
"","","","Han dynasty","","","","",62.0
"","","","","","","","",47.0
"","","","","","","","",69.0
"Emperor Zhang of Han","","","","","","","",31.0
"","","","","Monarch","","","",27.0
"","Han dynasty Emperor from 106 to 125","","","","",125.0,"",31.0
"","","","","","","","",43.0
"","","","","",1904.0,"","",56.0
"Emperor Shun of Han","","","","Ruler","","","",29.0
"","","","","","","","",64.0
"","","","","","","","",36.0
"","","","","","","","",63.0
"","","","Eastern Han Dynasty","","","","",33.0
"Prince of Hongnong","","","Eastern Han Dynasty","Politician","","","",14.0
"","","","","","","","",74.0
"","","","Austria-Hungary; Austrian Empire","","","","natural causes",51.0
"","","","","","","","",78.0
"","","","","Artist","","","",66.0
"","Austrian composer","","","","","","",31.0
"","","","","","","","",89.0
"","","","","","","","",53.0
"","","","","","","","",53.0
"","","","","","","","",88.0
"","","","","","","","",66.0
"","","","","","","","",55.0
"","","","Kingdom of Great Britain","","","","",51.0
"Hernán Cortés","","","","","","","",62.0
"","","","","","","","",34.0
"","","","","","","","",55.0
"","","","","","","","",73.0
"","Chinese mariner, explorer, and diplomat","","Ming dynasty","","","","",62.0
"","","","","","","","",91.0
"","","","","","","","",45.0
"","","","","","","","",19.0
"","","","","","","","",41.0
"","","Male","","","","","",77.0
"","","","","","","","",46.0
"","","","","","",290.0,"",54.0
"","","","","","","","",48.0
"","usurper of the Jin Dynasty (265–420), 3rd of eight princes of the War of the Eight Princes","","","","","","",61.0
"","","","","","","","",13.0
"","Italian filmmaker","Male","","","","","",73.0
"","","","United States of America; United Kingdom; United Kingdom of Great Britain and Ireland","","","","",81.0
"","","","","","","","",18.0
"","","","Eastern Jin dynasty","","","","",47.0
"","","","","","","","",26.0
"","","","","","","","",21.0
"","","","","","","","",22.0
"","","","","","","","",18.0
"","","","","","","","",24.0
"","","","China; Eastern Jin dynasty","","","","",44.0
"","","","","","","","",52.0
"","","","","","","","",34.0
"","","","","Monarch","","","",37.0
"","","","China","","","","",35.0
"","","","","","","","",86.0
"","German physicist and chemist","","","","","","",73.0
"","","","","","","","",86.0
"","","","","",1900.0,1995.0,"",95.0
"","","","","","","","",88.0
"","","","","","","","",63.0
"","","","","","","","",48.0
"","","","","","","","",14.0
"","","","","","","","capital punishment; homicide",14.0
"","","","","","","","",49.0
"","","","","","","","",94.0
"","","","","","","","",82.0
"","","","","","","","",89.0
"","","","","","","","",82.0
"","","","Western Xia","","","","",45.0
"","","","","","","","",97.0
"","","","","","","","",21.0
"","","","","","","","",92.0
"","","","","","","","",42.0
"","","Female","","","","","",82.0
"","","","","","","","",92.0
"Emperor Huizong of Western Xia","","","","Politician","","","",25.0
"","","","","","","","",89.0
"","","","","","","","",69.0
"","emperor of the Western Xia Dynasty","","","","",1211.0,"",41.0
"","","","","",1163.0,"","",63.0
"","","","","","",1226.0,"",45.0
"","","","","","","","",96.0
"","","","","","","","",88.0
"","","","","","","","",49.0
"","","","","","","","",58.0
"","","","","","",1958.0,"",38.0
"","","","","",968.0,"","",54.0
"","","","Song dynasty; Northern Song Dynasty","","","","",53.0
"","","","","","","","",30.0
"","","","","","","","",35.0
"","","","","","","","",78.0
"","","","","","","","",88.0
"","","","","","","","",68.0
"","","","","","","","",37.0
"","","","","","",1100.0,"",24.0
"","","","","Researcher","","","",86.0
"","","","","","","","",53.0
"","","","","","","","",84.0
"","","","","","","","",61.0
"","emperor of Song Dynasty China","","","","","","",80.0
"","","","","","","","",45.0
"","","","","","","","",92.0
"","","","","","","","",67.0
"","","","","","","","",53.0
"","","","","","","","",56.0
"","","","","",1205.0,"","",59.0
"","","","","","","","",34.0
"","","","","","","","",52.0
"","","","","","","","natural causes",59.0
"","Jewish American chemist","","","","","","",87.0
"","","","","","","","",91.0
"","","","","","","","",68.0
"","","","","","","","",81.0
"","","","","","","","",41.0
"","","","","","","","",55.0
"","","","","","","","",50.0
"","","","","","","","",68.0
"","","","","","","","",79.0
"","","","","","","","",89.0
"","","","","","","","",69.0
"","","","","","","","",58.0
"","","","","","","","",89.0
"","","","","","","","",64.0
"","","","","","","","",65.0
"","","","","","","","",76.0
"","","","","","","","",65.0
"","","","","","","","",21.0
"","","","Sweden","","","","",63.0
"","","Male","","","","","",76.0
"","","","","","","","",65.0
"","","","","","","","",68.0
"","","","","","","","",47.0
"","","","","","","","",39.0
"","","","France","","","","",64.0
"","","","","","","","",77.0
"Louis XVIII of France","","","","","","","",69.0
"","","","","","","","",66.0
"","","","","","","","",79.0
"","","","","","","","",81.0
"","","","","","","","",63.0
"","","","","","","","",77.0
"","","","","","","","",45.0
"","","","","","","","",70.0
"","","Male","","","","","",71.0
"","","","","","","","",65.0
"","","","","","","","",70.0
"","","","","","","","",49.0
"","","","","","","","",39.0
"","","","","","","","",69.0
"","","","","","","","",34.0
"","American writer","","","","","","",66.0
"","","","","",1882.0,"","",58.0
"","","","","","","","",49.0
"","","","","","","","",54.0
"","","","","","","","",50.0
"","","","","",1899.0,"","",89.0
"","","Male","","",1910.0,"","",88.0
"","","","","","","","",63.0
"","","","","","","","",91.0
"","early Christian theologian, philosopher and Church Father","","","","","","",76.0
"","","","","","","","",95.0
"","","","","","","","",39.0
"","","","","","","","",71.0
"","","","","","","","",62.0
"","","","","","","","",72.0
"","","","","","","","",60.0
"","","","","","","","",92.0
"","","","","","","","",57.0
"Claes Gerritszoon Compaen","","","","","","","",73.0
"","","","","","","","",21.0
"","","","","","","","",81.0
"","","","","","","","",78.0
"","","","","","","","",79.0
"","","","","","","","",72.0
"","German General of the Infantry","","","","","","",71.0
"","","","","","","","",27.0
"","","","","",-356.0,"","",33.0
"","","","","","","","",70.0
"","King of France and Navarre (1316-1322)","","","","","","",29.0
"","","","","","","","",59.0
"","","","","","",1898.0,"",83.0
"","","","","","","","",27.0
"","","","","","","","",58.0
"","","","","","","","",45.0
"","","","","","","","",69.0
"","","","","","","","",59.0
"","","","","","","","",42.0
"","","","","","","","",72.0
"Peter the Great","","","","","","","",53.0
"","","","","","","","",72.0
"","","","","",1459.0,"","",78.0
"","","","","","","","",57.0
"","","","","","","","",35.0
"","","","","","","","",21.0
"","","","","","","","",72.0
"","emperor of the Yuan Dynasty","","","","","","",35.0
"","","","","","","","",59.0
"","","","","","","","",63.0
"","","","","","","","",47.0
"","","","","","","","",67.0
"","","","","","","","",81.0
"","","Male","","","","","",63.0
"","","","United States of America","Cinematographer","","","",57.0
"","","","","Artist","","","",72.0
"","","","","Sovereign","","","",29.0
"L. B. Abbott","","","United States of America","Artist","",1985.0,"",77.0
"","","","","","","","",82.0
"","","","","","","","",65.0
"","","","","","","","",84.0
"","","","","","","","",76.0
"","","","","","","","",53.0
"","","","","","","","",48.0
"","","","","","","","",70.0
"","","","","","","","",84.0
"","","","","","","","",62.0
"","","","","","","","",69.0
"Augustin-Louis Cauchy","","","","","","","",68.0
"","","","","","","","",71.0
"","","","","","","","",78.0
"","","","","","","","",68.0
"","","","","","","","",71.0
"","","","","","","","",59.0
"","","","","","","","",89.0
"","","","","","","","",87.0
"","","","","","","","",83.0
"","","","","","","","",70.0
"","","","","Researcher","","","",65.0
"Joseph Victor von Scheffel","","","","","","","",60.0
"","","","","","","","",48.0
"","","","","","",2020.0,"",80.0
"","","","","","","","",73.0
"","","","","","","","",66.0
"","","","","","","","",74.0
"","","","","","",1980.0,"",88.0
"","","","","","","","",54.0
"","","","","","","","",62.0
"","","","","","","","",65.0
"","","","","","","","",83.0
"","","","","","","","",61.0
"","","","","","","","",80.0
"","","","","Researcher","","","",63.0
"","","","","","","","",76.0
"","","Male","","","","","",43.0
"","","","","","","","",48.0
"","","","","","","","",37.0
"","","","","","","","",72.0
"","","","","","","","",56.0
"","","","France","",1905.0,"","",75.0
"","","","","","","","",59.0
"","","","","","","","",67.0
"","","","","","","","",56.0
"","","","","","","","",62.0
"","","","","Researcher","","","",70.0
"","Italian politician (1914-2010)","","","","","","",96.0
"","","","","","","","",72.0
"","","","","","","","",87.0
"","","","","","",1274.0,"",49.0
"","","","","","","","",82.0
"","","","","","","","",60.0
"","","","","","","","",62.0
"","","","","","","","",73.0
"","","","","","","","",84.0
"","","","","","","","",53.0
"","","","","Researcher","","","",63.0
"","","","","","","","",93.0
"","","","","","","","",93.0
"","","Male","","","","","",81.0
"","","","","","","","",88.0
"","","","","","","","",65.0
"","","","United Kingdom","","","","",36.0
"","","","","","","","",36.0
"","","","","","","","",46.0
"","","","","","","","",69.0
"","","","","","","","",51.0
"","","","","","","","",55.0
"","","Male","","","","","",51.0
"Emperor Zhongzong of Tang","","","","","","","",54.0
"","","","","","","","",54.0
"","","","","","","","",76.0
"Wu Zetian","","Female","","","","","",81.0
"","","Male","","","","","",20.0
"","","","","","","","",77.0
"","","","","","","","",51.0
"","","","","","",779.0,"",52.0
"","","","","","","","",63.0
"","","","","","",806.0,"",45.0
"","","","","","","","",42.0
"","","","","","","","",29.0
"","","","","","","","homicide",18.0
"","","","","","","","",31.0
"","","","","","","","",32.0
"","","","","","","","",49.0
"","","","","Artist",833.0,"","",40.0
"","","","","","","","",26.0
"","","","","","","","",37.0
"","","","","","","","",16.0
"","United States Army general, statesman and 34th president of the United States (1890-1969)","","","","","","",79.0
"","","","","","","","",70.0
"","","","","","","","",90.0
"","","Male","","","","","",93.0
"","","","","","","","",25.0
"","","","","","","","",64.0
"","","","","","","","",47.0
"","","","","","","","",36.0
"","","","","Ruler","","","",37.0
"","","","","","","","",29.0
"","","","","","","","",40.0
"","","","","","","","",35.0
"","","","Soviet Union","","","","",71.0
"","","","","","","","",30.0
"","12th emperor of the Ming Dynasty (r. 1521-1567)","","","","","","",60.0
"","","","","","","","",35.0
"","","","","","",1620.0,"",57.0
"","","","","","","","",38.0
"","","","","","","","",22.0
"","","","","","",1644.0,"",33.0
"","","Female","","","","","",73.0
"","","","","","","","",66.0
"Alice Greene","","","","","","","",77.0
"","","","","","","","",92.0
"","","","","","","","",82.0
"","","","","Artist","","","",86.0
"","Brazilian racing driver","","","","","","",34.0
"","","","","","","","",71.0
"","","","","","","","",70.0
"","","","","","","","",62.0
"","","","","","","","",88.0
"","","","","","","","natural causes",95.0
"","","","","","","","",76.0
"","","","","",1621.0,"","",80.0
"","","","","","","","",68.0
"","","","","","","","",87.0
"","","","","","","","",69.0
"","","","","","","","",61.0
"","","","","","","","",75.0
"","","","","","","","",60.0
"","Persian astronomer","","","","","","",83.0
"Muḥammad ibn Jābir al-Ḥarrānī al-Battānī","","Male","","",858.0,"","",72.0
"","","","","","","","",52.0
"","","","","","","","",99.0
"","","","","","","","",87.0
"","","","","","","","",60.0
"","","","","","","","",80.0
"","","","","","","","",71.0
"","","","","","","","",90.0
"","","Male","","","","","",72.0
"","American sound engineer","","","","","","",68.0
"","","","United States of America","","","","",94.0
"","","","","","","","",64.0
"","","","","","","","",87.0
"","","","","","","","",93.0
"","","","","Researcher",1949.0,"","",49.0
"","","","","","","","",54.0
"","","","United States of America","","","","",68.0
"","","","","Researcher","","","",73.0
"","","","United States of America","","","","",90.0
"","","","","","","","",83.0
"","","","","","","","",95.0
"","","","","","","","",52.0
"","","","","","","","",88.0
"","","","","","","","",22.0
"","","","","","","","",84.0
"","","","","","","","",47.0
"","","","","","","","",86.0
"","","","","","","","",65.0
"","","","","","","","",43.0
"","","","","",1902.0,"","",63.0
"","","","","","","","",60.0
"","","","","","","","",80.0
"","","","","","","","",57.0
"","","","","","","","",58.0
"","","","","","","","",42.0
"","","","United States of America","","","","",72.0
"","","","","","","","",58.0
