"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","X_24","X_25","X_26","X_27","X_28","X_29","X_30","X_31","X_32","X_33","X_34","X_35","X_36","X_37","X_38","X_39","X_40","X_41","X_42","X_43","X_44","X_45","X_46","X_47","X_48","X_49","X_50","X_51","X_52","X_53","X_54","X_55","X_56","X_57","X_58","X_59","X_60","X_61","X_62","X_63","X_64","X_65","X_66","X_67","X_68","X_69","X_70","X_71","X_72","X_73","X_74","X_75","X_76","X_77","X_78","X_79","X_80","X_81","X_82","X_83","X_84","X_85","X_86","X_87","X_88","X_89","X_90","X_91","X_92","X_93","X_94","X_95","X_96","X_97","X_98","X_99","X_100","X_101","X_102","X_103","X_104","X_105","X_106","X_107","X_108","X_109","X_110","X_111","X_112","X_113","X_114","X_115","X_116","X_117","X_118","X_119","X_120","X_121","X_122","X_123","X_124","X_125","X_126","X_127","target"
"","","","","","","","","","","","","","","","","","","","","","",-6.08,"","","","",-0.6,"","","","","","",-8.29,"","","","","","","","","",-1.59,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.69,"","","","","","","","","","","",0.96,"","","",1.44,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",8
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.94,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"","","","",1.4,"","","","","","","","","",-0.03,"","","","","","","","","","","","","","","","","","",-0.38,"","","","","","",-5.15,"","","","","",0.09,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.77,"","","","",4.25,"","","","","","","","","","","","","","","","","",-2.74,"","","","","",3
"","","","","","","",5.71,"","","","","","","","","","","","","","","","","","","","","","","",-0.87,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.48,"","","","","","","","","","","","","","","",-1.19,"",1.42,"","","","","","","","","","","","",1.11,"","","",0.6,"","","","","","","","","","","","","","","","","","","","","","","","","",10
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.81,-0.32,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15
"","","","","","","","","","","","","","","","","","","",2.97,"","","","","","","","","","","","","","","","","","","","","",-0.72,"","","","","","","","","","","","","","","",-0.55,"","","","","","","","","","","","","","","",3.05,"","","","","","","","","","","","","","","","","","","","",-0.68,"","","","","","",-9.8,"","","","","","","","","","",-2.72,"","","","","","","","","","","",1.1,"","","",11
"","","","","","","",-0.83,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.59,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.41,"","","","","","","","","","","","","",5.68,"","","",-3.51,"","","","","","","","","","","","","",7.71,"","","","","","","","","","","","",11
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.11,"","","","","","","","","","","","","","","","","","","",-2.64,"","","","","","","","","","",-2.24,"","","","","",-11.22,"","","","","",1.32,"","","","","",-0.32,-0.94,"","","","","","","","","","","","","","","","","","","","","","","",-0.76,"","","","","","","","","","","","","","","","","","","","",0.81,"",15
"","","","","","","","","","","",1.08,"","","","","","","","","","","","","","","","","","","","","","","","","","",-0.01,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15
"","","","","","","","","","","","","","","","",0.24,"","","","","","","","","",3.96,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.88,-4.76,"","","","","","","","","",2.07,"","","","","","","","","","","","","",1.72,"","","","","","","","","","","","","","","","",-0.68,"",-0.71,-1.58,"","","",0.11,"","","","","","","","","","","","","",7
"","","","","","","","","","","","","","","","","","","",-0.48,"","","","","","",-4.07,"","","","","","","","","","","","",-0.1,"","","","","","","","","","","","","","","","","","","","","",-0.55,"","","","","","","",-0.62,"","","","",0.9,"","",-1.1,"","","","","","","","","","","",-1.82,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15
"","","","",-2.8,"","","","","","","","","","",0.58,"","","","",-0.38,"","","","","","","","","","","","","","","","","",0.57,"","","","","","","","","","","","",0.81,"","","","","","","","","","","","","","","","","","","","","",4.96,"","","","","","",-6.63,"","","","",-1.35,"","","","",2.08,"","","","","","","","","","","","","","","","","","","","","","","","","",0.96,"",1.2,"","","","","","",2.73,"","",6
"","",-1.03,"","","","","","","","","","","","","","","","","","","","","","","",1.99,"","","","","","","","","","","","","","","","","","","","","","","",0.1,"","","","","","","","","","",-0.69,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9.07,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.36,"","","","","","","","","","","","","","","","","","","","","","","","","","",0.98,"","","","","","",0.21,"","","","","","","","","","","","","","","","","","","",9
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.77,"","","",-10.27,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.77,"","","","","","","","","","","","","","","",-43.38,"","","","","","","","","","","","","","","","","","","","","","","",-8.09,"","","","","","","","","","",0.87,"","","","","","","","","","","","","",2
"","","","","","","","","","","","","","","","",-1.59,"",-5.58,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4.38,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.05,"","",4.63,"","","","","","","","","","","","","","","","","","","",4
"","","","",-8.69,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.28,"","","","","","","","","","",-1.07,"","","","","","","","","","","","","","","","","",0.09,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.24,"","","","","","",1.2,"",0.51,"","","","","","","","","","","","","",-0.71,"",-1.17,"","","","","","","","","",11
"","","","","","","","","","","","",1.89,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.27,-0.37,"","","",-0.79,"","","","","","","","","","","","","","","","","","","","","","","",-0.3,"","","","","","","",-3.07,"","","","","",2.05,"","","","","","","","","","","","","","","","","",8
"","","","","","",-6.5,"","","","","","","","","","","","","","","","","","","","","","","","","","",-1.53,"","","","","","","",-0.8,"","",-0.18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.6,"","","","","","","","","","","","","","",-0.43,"","","","","","","","","","","","","","","","","","","",2.01,"","","","","","","","","",5
"","","","","","",1.49,"","","","","","","","",0.48,0.95,"","","","","","","","","","",0.18,"","","","","","","","","","","","","","","","","","","","","","",-1.31,"",-2.24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.32,"","","","","","","","","","","","","","","","","","","","","","","","",-2.38,"","","","","","","","","","","","","","","","",-2.45,"","",13
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.47,"","","","","","","","","","","","","","",0.04,"","","","","","","","","","","","","","","","",-1.63,"","","","","","","","","","","","","","","",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8
"","","","","","","","","","","",-3.02,"","",-0.22,"","","","","","","","","","","","",0.48,-2.89,"","","","","","","","","","","","",-0.73,"","","","","","","","",1.36,"","","","","","","","","","","","","","","","","","","","","","","","",-5.63,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.21,11
"","","","","","","",-1.41,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.85,"","","","","","","","","","","","","","","","","","","","","","","","","","",-4.79,"","","","","","","","","","","","",10.18,"","","","","","","","","",0.37,"","","","","","","","","","","",-0.04,"","","","","","","","","","","","","","","","","","","",2.17,"",-0.57,"","","",11
"","","","","","","","","","","","",-0.02,"","","","","","","","","","","","","","","","","","","","","","","","",0.18,"","","","","","","","","","","","",-0.42,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.73,"","","","","","","","","","","","","","","",4.31,"","","","","","","","","","","","","","","","","","","","","",4.19,"","","","","","","","","","","","","","","","","","","","","","","","","",5.87,"","","","","","","","","","","","","","","","","","","","","","","","","","","",8.46,"","",5
"","","","","","","","","","","","","","","","","","","","","","","","","",-1.03,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-7.83,"","","","","","","","","","","","","","","","","","","","","",-0.71,"","","","","","","","","","","","","","","","","","","","","","","","","","",-1.76,"","","","","",4.08,"","","","","","","","","","","","","","","","","","","",10
0.49,"","","","","","","","","","","","","","","","","","","","","","",-0.46,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.21,"","","","","","","","","","","","","","","","","","",8.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.74,"","","","","","","","","","","","","","","","","",3
"","","","","","","","","","","","","","","","","","","","","","","","","",-0.14,"","","","","",-0.56,"","","","","","",0.57,"","","","","","","",-0.74,"","","","","","","","","","","","","","","","","",0.06,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.18,"","","","","","","","","","","","","","","","","",0.73,"","","","","",1.18,"","","","","","","","","","","",10
"","","","",-9.52,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.33,"","","","","","","","","","","","","","",-0.9,"","","","","","","","","","","","","","","","","","","","",0.02,"","","","","","","","","","",0.73,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"","","","","","","","","","","","","","","","","",3.92,"","","","","","","","","","","","","","","",-6.21,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.18,"","","","","","","","","","",0.17,"","","","","","","","","","","","","","","","",9
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.81,"","",-0.64,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",31.99,"","",-1.25,"","","","","",-0.29,"","","","","","","","","",0.04,"","","","","","","","","","","","","","","","","","","","",1.06,"","","","","","","","",11
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.67,"","","","","","","","","","","","",-1.09,"",5.04,"","","","","","","","","","","","","","","","","","","",2.1,"","","","","","","","","","","","","","","","","","","","",0.59,"","","","","","","","","","","","","","",2.05,"",4.49,"",-1.77,"","","","","","","","","","","","","","","","","","","","","","","","",1
"","","","","","","","","","","","","","","","",-1.44,"","","","","","","","","","","","","","","","","","",0.56,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.48,"","","","","","","","","","","","",-1.76,"","","","",-0.02,"","","","","","","","","","","","","","","","","","","","","",0.01,"","","","",0.07,0.83,"","","","","","","","",-7.63,"","","","","","","",12
"","","","","","",12.83,"","","","","","","","","","","","","","",-4.07,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.04,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.51,"","","","","","","","","","","","","","",2.94,"",-2.56,-4.84,"","","","","",0.94,"","","","","","","","","","","","","","","","",-0.0,7
"","","",-3.02,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11,"","","","","","","","","","","","","","","","","","","","","","",0.91,"","","","",1.28,"","","","","","","","","","","","","","","","","","","","","","","","","","","",6.64,"","","","","","","",-3.27,"",1.43,"","","","","","","","","","","","","","",-5.91,"","","","","","","","","","","","","","",-0.87,14
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.11,"",-0.63,"","","","","","","",-0.65,"","","","","","","","","","",-3.87,"",2.57,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.5,6
"","","","","","",2.82,"","","","","","",-0.25,"","","","","","","","","","","","","","","","","","","",-6.14,"","","","","","","","","","","","","","","","","","","","","","","",0.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.53,1.73,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.41,"","","","","",0.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.75,"","","","","","","","","","","","","","","","","","","","","","","","",9
-0.34,"",0.75,"","","","","",-6.6,"","","","","","","",3.14,"","","","","","","","","","","","","","","","","","","","","","","","",-0.24,"","","","","","","","","",-0.84,-4.48,"","","","","","","","","","","","","","","","","","","","","","","","","","",28.91,"","","","","","","","","","","","","","","","","","","","","","","","",1.96,"","","","","","","","","","","","","",-0.4,"",5.5,"","","","","","","",9
"","","","","","","","","","","","","","",-0.52,"","",12.65,"","","","","","",-2.28,"","","","","","","","","",-4.87,0.47,"","","","","","","","",-0.22,"","","","","","","","","","","","","","","","","",1.06,"","","","","","","","","","",3.88,"","","","","","","","","","","","","","","","","","","","","",1.02,"","","","","","","","","","","","","","","","",8.5,-1.54,"","","","",1.27,"","","","","","","","","",11
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.64,"","","","","","","","","","","","","","","","","","","","","","","","","","",2.84,"","","","","","","","","","","","","",-3.08,"","","","",0
"","","","","","","","","","",3.92,"","","","","","","","","","","","","","",-1.41,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.71,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.51,"","","","","","","","","","","","",2.81,"","","","",11
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.19,"","",-5.2,"","","","",-0.76,"","","","","","","","","","","","","","","","","","","","","",-5.93,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.3,"",6
"","","","","","","","","","","","",1.88,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.67,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-5.34,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.4,"",14
"","","","","","","","","","","",-1.62,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6.53,"","","","","","","","","","","","","","",-1.83,"","","","","",33.2,"","",-0.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.06,"","",-2.07,"","","","","",2.35,"","",6
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.61,"","","","","","","","",0.6,"","","","","","","","","","","","","",-0.15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-4.82,1.16,"","","","","","","","",0.44,"","","","","","","","","","","","","","","","","","","","","","",15
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.31,"","",4.86,"","","","","",3.4,"","","","","","","","","","","","","","","","",-1.15,"","","",3.51,"","","","","","","","","","","","","","","","","","","","","","","","","",-6.41,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.07,"",1.47,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-33.66,"","","","","","","",7.27,"","",0.49,"","","","","","","",-0.22,"","","","","","",-0.44,"","","","","","","","","","","","","","","","","","","","","","",14
"","","","","","","","","","","","","","","","",-0.79,"","","","","","","","",-0.46,"","","","","","","","","","","","","","","","","","","","","","","","",-0.29,0.12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12,"","","","","","","","","","","","","","","","","",-0.21,"","","","","","","","","","","","","","","","","","","","",-0.22,6
"","","","","","","","","","","","","","","","","","","","",0.29,"","","","","","","","","","","","","","","","","","","","","",0.31,"","","",-0.74,"","","","","","","","","","",-0.01,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.07,"","","","","","","","","","","","",1.33,"","",-0.06,"","","","","","","","","","","","","","","","","",8
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.88,"","","","","","","","","","","","","","","","",-2.25,"","","","","","","","","","","","","","","","",7.28,"","","","","","",-5.5,"","","","","","","","","",-0.34,"","","","","","","","","","","","","","","",-5.7,"",-0.13,"","","","","","","","","","","",0.16,"","","","","","","","","","","","","",6
"","","","","","","","","","","","",1.04,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.03,0.55,"","","","","","","","","","","","","","","","","",1.22,-0.15,"","","","","","","","","","","","","","","",-0.09,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15,"",6
"","","","","","","","",-2.68,"","","","","","","","","","","","","","","","","","","","",-0.86,0.54,"","",-0.81,"","","","","","","","","","","","","","","","","","",1.69,"","","","","","","","","","","","","","","","","","","","",-2.61,"","","","","","","","","","","","",-3.24,"","",0.67,"","","",0.74,"","",1.45,6.24,"","","","","","","","","","","","","","","","","",7.48,0.83,"","","","","","","","","","","",0
"","","","","","","","","","","","","","","","","","","","",-2.37,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.46,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-4.88,"","",-0.06,"","","",14.88,-0.56,"","","","","","","","","","","","","","","","","",-0.53,"","","","","","","","","","","","","","","","","","","","","",13
"","","","","","","","","","","","","","","","",1.29,"","","","","","",1.83,"","","","","","","","","","","","","","","",-1.38,"","","","","","",0.28,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.57,"","","","","","","","","","","","","",-0.43,"","","","","","","","","","","","","","","","","","",-0.26,"","","","","","","","",11
"","","","","","","","","","","","","","","","","","","",-2.62,"","","","","","","","","","",0.96,"","","","","","","","","","","","","","","",-1.24,"","","","","","","","","","","","","",0.3,"","","","","","","","","","","","","","","",-3.79,"","","","","","","","","","","","","","","","","","","","","","","","","",0.25,"","","",0.88,"","","","","","","","",3.71,"","","","","","","",-12.39,"","","",-1.06,11
"","","","","","","","","","","","","","","","","","","","","","","","","","",2.66,"","","","","","",-8.0,"","","","","","","","","","","",0.16,"","","","","",-0.28,"","","",4.85,"","","","","","","","","",0.25,"","","","","","","",-2.58,"","","","","","","","",1.85,"","","",-0.28,"","","","","",5.02,"","","","","","","","","","","","","","","",-1.27,"","","","","","","","","","",-0.25,2.52,"","","","","","","",15
"","","","","","","","","","","","","","","","","","","","",0.05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.14,"","","","","","","","","","",14
"","","","","","","","","","","","","","","","","","","",-5.55,"","","","","","","","",-2.46,"",-0.01,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.06,-3.29,"","","","","","","","","","","","","","","","","",-3.45,"","","","","","",-1.09,"","","","","","","","","","","","","","","","","","","","","","","","",-0.34,-5.57,"","","","",3.61,"","",14
"","",0.21,"","","","","","","",0.92,"","","","","","","","","","","","","","",-0.58,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.4,1.13,"","","","","","",3.37,"","","","","","","","","","","","","","","","",0.58,1.15,"","","","","","","","","","","","","","",1.46,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",3
-0.95,"","","","","","","","","","","","","","","","","",5.44,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.14,"","","","",-1.32,"","","","","",-0.83,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.61,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-5.63,"","",-1.99,"","",1.78,12
"","",0.01,-5.12,7.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.04,"","","","","","","","","","","","","","","","","","","","",-2.12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"","","","","","",-7.06,"","","","","","","","","","","","","","","","","","","","","","","","","","",-0.15,"","","","","",0.62,"","","","",2.04,"","",0.55,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.47,"","",-0.11,"","","","","","","","","",3
"","","","","","","","","","","","","","","",0.59,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.67,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.84,"","","","","","","","","","","","","","","",1.07,"","","","","","","","","","","","","","","","","","","","","","","","","","",-7.51,"","","","","","",2
"","","","","","","","","","","",0.67,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.48,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-6.3,"","","","","","","","","","","","","","","","","","","",0.32,"","","","","",2.46,"","","","","","","","","","",1.77,"","","","","","",-0.23,"","","","","","","","","","","","","","",13
"","",0.23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.7,"","","","","","","","",31.35,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.32,"","","","","","","",8
"","","","","","","","","","","","","","","","","","","","","","","","","","",-2.39,"","","","","","","","","","","","","","","","","","","",0.49,"","","","",-1.67,"","","","","","","","",1.1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.37,"","","","","","","","","","","","","","","",0.8,"","","","","","","","","","",15
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.57,"","","","","","","","","","","","","","","","","",3.89,"","","","","","","","","","","","","","","","","","","","","",-1.99,"","","","","","","","",3.78,"","","","",6
"",0.52,"","","","","","","","","","","","","","","","","","",-0.44,"","","",-3.23,"","","","","","","","","","","","","","","","","","","","",-0.66,"","","","","","","","","","","","",-0.04,"","","",0.49,"","","","","",2.43,"","","","","","","","","","","",-3.0,"","","","",3.56,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13,"","","","","","","","","",10
