"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","X_24","X_25","X_26","X_27","X_28","X_29","X_30","X_31","X_32","X_33","X_34","X_35","X_36","X_37","X_38","X_39","X_40","X_41","X_42","X_43","X_44","X_45","X_46","X_47","X_48","X_49","X_50","X_51","X_52","X_53","X_54","X_55","X_56","X_57","X_58","X_59","X_60","X_61","X_62","X_63","target"
"","","","","","","","","","","","","","","","","","","","","","",1.47,"","","","",-0.61,"","","","","","",-0.29,"","","","","","","","","",0.96,"","","","","","","","","","","","","","","","","","","",-268.43
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-10.78
"","","","",0.09,"","","","","","","","","",-0.03,"","","","","","","","","","","","","","","","","","",0.21,"","","","","","",-0.97,"","","","","",-1.23,"","","","","","","","","","","","","","","","","",479.18
"","","","","","","",0.92,"","","","","","","","","","","","","","","","","","","","","","","",0.15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-232.95
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",413.12
"","","","","","","","","","","","","","","","","","","",-0.11,"","","","","","","","","","","","","","","","","","","","","",-0.6,"","","","","","","","","","","","","","","",1.15,"","","","","","",130.62
"","","","","","","",-0.25,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.35,"","","","","","","","","","","","",-119.25
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.79,"","","","","","","","","","","","","","","","","","","",-0.11,"","","","","","","","","","",-1.91,"",-401.89
"","","","","","","","","","","",0.79,"","","","","","","","","","","","","","","","","","","","","","","","","","",2.4,"","","","","","","","","","","","","","","","","","","","","","","","","",-24.2
"","","","","","","","","","","","","","","","",-0.45,"","","","","","","","","",0.35,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",335.45
"","","","","","","","","","","","","","","","","","","",1.03,"","","","","","",-0.09,"","","","","","","","","","","","",-1.23,"","","","","","","","","","","","","","","","","","","","","",-1.27,"","",128.96
"","","","",0.07,"","","","","","","","","","",0.48,"","","","",-0.74,"","","","","","","","","","","","","","","","","",-0.01,"","","","","","","","","","","","",-0.42,"","","","","","","","","","","","",-541.42
"","",0.0,"","","","","","","","","","","","","","","","","","","","","","","",0.29,"","","","","","","","","","","","","","","","","","","","","","","",-0.43,"","","","","","","","","","",-0.59,"","",177.65
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.22,"","","","","","","","","","","","","","","","","","","","","","","",284.15
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.31,"","","",-2.11,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.71,146.88
"","","","","","","","","","","","","","","","",2.35,"",0.21,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.24,-1.62
"","","","",-1.21,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.38,"","","","","","","","","","",-0.56,"","","","","","","","","","","","","","","","","",-46.27
"","","","","","","","","","","","",-0.73,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",24.51
"","","","","","",0.94,"","","","","","","","","","","","","","","","","","","","","","","","","","",-0.66,"","","","","","","",0.72,"","",-1.14,"","","","","","","","","","","","","","","","","","","",240.68
"","","","","","",-1.7,"","","","","","","","",-1.05,-0.75,"","","","","","","","","","",-1.55,"","","","","","","","","","","","","","","","","","","","","","",-0.82,"",0.11,"","","","","","","","","","","",-199.6
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.34,"","","","","","","","","","","","","","",1.47,"","","","","","",197.44
"","","","","","","","","","","",0.95,"","",2.63,"","","","","","","","","","","","",-1.01,0.09,"","","","","","","","","","","","",0.18,"","","","","","","","",-1.26,"","","","","","","","","","","","","",458.65
"","","","","","","",0.03,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.22,"","","","","","","","","","","","","","","","","","","","","","","",242.45
"","","","","","","","","","","","",0.06,"","","","","","","","","","","","","","","","","","","","","","","","",-0.23,"","","","","","","","","","","","",-1.02,"","","","","","","","","","","","","",94.01
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.13,"","","","","","","","","","","","","","","",1.69,"","","","","","","","","","","","","","",-79.0
"","","","","","","","","","","","","","","","","","","","","","","","","",1.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.02,"","","","","","","","","","",-272.89
1.4,"","","","","","","","","","","","","","","","","","","","","","",-0.28,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.2,"","","","","","","","","","","",251.26
"","","","","","","","","","","","","","","","","","","","","","","","","",0.23,"","","","","",1.16,"","","","","","",2.17,"","","","","","","",0.35,"","","","","","","","","","","","","","","","","",472.64
"","","","",-0.12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.47,"","","","","","","","","","","",79.66
"","","","","","","","","","","","","","","","","",0.2,"","","","","","","","","","","","","","","",1.07,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",445.83
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.24,"","",-1.21,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",415.91
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.56,"","","","","","","","","","","","",0.16,"",0.17,"","","","","","","","","","","","","","","","","","","",1.31,371.12
"","","","","","","","","","","","","","","","",2.24,"","","","","","","","","","","","","","","","","","",0.16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",445.42
"","","","","","",0.91,"","","","","","","","","","","","","","",-2.52,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.61,"","","","","","",-368.13
"","","",1.14,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.44,"","","","","","","","","","","","","","","","","","","","","","",0.46,"","","","",0.39,"","","","",80.01
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.81,"",-0.15,"","","","","","","",-2.13,"","","","","","","","","","",-0.07,"",0.16,"","","","","","",-78.21
"","","","","","",0.11,"","","","","","",-0.22,"","","","","","","","","","","","","","","","","","","",-0.12,"","","","","","","","","","","","","","","","","","","","","","","",2.71,"","","","","","",636.26
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.19,"","","","","",-1.65,"","","","","","","","","","","","","","","","",91.57
1.25,"",-0.38,"","","","","",1.3,"","","","","","","",1.13,"","","","","","","","","","","","","","","","","","","","","","","","",1.69,"","","","","","","","","",-0.16,1.04,"","","","","","","","","","","",493.65
"","","","","","","","","","","","","","",2.26,"","",-0.87,"","","","","","",0.57,"","","","","","","","","",-0.48,0.48,"","","","","","","","",-0.01,"","","","","","","","","","","","","","","","","",0.77,"",166.51
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-513.28
"","","","","","","","","","",0.91,"","","","","","","","","","","","","","",-0.43,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",281.28
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.21,"","",0.01,"","","","",0.09,"","","","","","","","","","","","","","","","","","",3.14
"","","","","","","","","","","","",2.55,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.64,"","","","","","","","","","","",191.28
"","","","","","","","","","","",-0.03,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.36,"","","","","",-598.91
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.57,"","","","","","","","",-0.5,"","","","","","","","","","","","",87.35
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.91,"","",0.79,"","","","","",-0.74,"","","","","","","","","","","","","","","","",0.03,"","","",1.47,"","",65.22
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.25,"",0.59,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-301.95
"","","","","","","","","","","","","","","","",-0.07,"","","","","","","","",-0.01,"","","","","","","","","","","","","","","","","","","","","","","","",2.0,0.94,"","","","","","","","","","","","",-226.57
"","","","","","","","","","","","","","","","","","","","",-0.68,"","","","","","","","","","","","","","","","","","","","","",-1.26,"","","",2.35,"","","","","","","","","","",-0.5,"","","","","","",246.05
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.64,"","","","","","","","","","","","","","","","",-0.72,"","","","","","","","","","","","","",-93.44
"","","","","","","","","","","","",-0.38,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.05,0.35,"","","","","","","","","","","","","","","","","",296.06
"","","","","","","","",0.33,"","","","","","","","","","","","","","","","","","","","",0.59,0.81,"","",1.35,"","","","","","","","","","","","","","","","","","",0.09,"","","","","","","","","","","",-75.15
"","","","","","","","","","","","","","","","","","","","",-1.11,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.79,"","","","","","","","","","","","","",7.04
"","","","","","","","","","","","","","","","",0.38,"","","","","","",-0.64,"","","","","","","","","","","","","","","",1.37,"","","","","","",-0.6,"","","","","","","","","","","","","","","","","",-259.18
"","","","","","","","","","","","","","","","","","","",0.92,"","","","","","","","","","",-0.54,"","","","","","","","","","","","","","","",-0.42,"","","","","","","","","","","","","",1.02,"","","",-351.45
"","","","","","","","","","","","","","","","","","","","","","","","","","",0.53,"","","","","","",1.66,"","","","","","","","","","","",-0.33,"","","","","",1.32,"","","",-1.34,"","","","","","","","",-329.57
"","","","","","","","","","","","","","","","","","","","",-0.34,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",455.76
"","","","","","","","","","","","","","","","","","","",0.56,"","","","","","","","",-0.19,"",-0.36,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",601.51
"","",2.57,"","","","","","","",1.11,"","","","","","","","","","","","","","",0.02,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.24,1.21,"","","","",3.7
0.58,"","","","","","","","","","","","","","","","","",0.09,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-371.49
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.19,"","","","",1.36,"","","","","",-0.28,"","","","","","","","","","","","","","","","","","","","","",447.05
"","",1.86,0.36,1.21,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14,"","","","","","","","","","","","","","","","","","",65.36
"","","","","","",0.93,"","","","","","","","","","","","","","","","","","","","","","","","","","",-0.64,"","","","","",-1.16,"","","","",0.16,"","",1.49,"","","","","","","","","","","","","","","","",184.02
"","","","","","","","","","","","","","","",-2.35,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.71,"","","","","","","","","","","","","","","","",270.37
"","","","","","","","","","","",-0.34,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1.73,"","","","","","","","","","","","","","","","","","","","","","","","",-591.58
"","",1.47,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",68.83
"","","","","","","","","","","","","","","","","","","","","","","","","","",1.66,"","","","","","","","","","","","","","","","","","","",-0.85,"","","","",-2.29,"","","","","","","","",0.12,"","","",99.43
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.75,"","","","","","","","","","","","","","","","","","","","","","","","",188.42
"",0.28,"","","","","","","","","","","","","","","","","","",-1.34,"","","",-0.39,"","","","","","","","","","","","","","","","","","","","",2.15,"","","","","","","","","","","","",0.75,"","","",1.02,"",127.09
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-229.39
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.69,"","","","","","","","","","",-234.86
"","","","","","",-0.87,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.39,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",354.9
"","","","","","",0.27,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.79,"","","","","","","","","","","","","",0.07,"","","",-0.03,"",0.2,"","","","","",87.1
"","","","","","","","","","","",-1.69,"","","","","","","",-0.04,"",-1.2,"",0.62,"","","","","","","","","","",-1.17,"","","","","","",-2.43,"","","","",1.25,"","","",-0.27,"","","","",-0.33,"","","","","","","","",176.91
"","","","","","","","",-0.08,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08,"","","",-0.11,"","","","","",-0.02,"","","","","","","","","",1.29,"","","",323.32
"","",1.31,"","","",-0.25,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18,"","","","","","","","",0.07,"","","","","","",224.77
"",-0.12,"","","","","","","","","","","","","","","","","","","",0.65,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.54,"","","","","",0.13,"","",-292.12
"","","","","","","","","",0.68,"","","","","","",-0.41,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-450.31
"","","","","",-1.75,"","",0.97,"","","","","","","","","","",0.15,"","","","","","","","","","","","","","","","","","","",1.4,"","","","","","","","","","","","","","","",0.9,"","","","","","","","",313.12
"","","","","",-1.54,"","","","","","","","","","","","","","",1.12,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1.25,"","","","","","","","","","","",0.25,"","","",477.13
"","","","","","","","","","","","","","","","",1.19,"","","","","","",-0.47,"","","","","","","","","",-1.42,"","","","","","","","","","","","","","","","","","","","","","","",0.78,"","","",0.79,"","",263.93
"","","",0.57,"","","","","","","","","","","","","","","","","","","","","","","","",0.55,"","","","","","","",0.22,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-41.26
"","","","","","",-0.0,"","","","","","",-0.25,"","","","","","","","",0.5,"","","","","",0.18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.04,"","","","","",-292.62
"","","","","","","","","","","","","","","","",0.35,"","","","","","","","","","","","","","","","","","","","","",-1.39,"","","","","","","","","","","","","","","","","","","","","","","","","",170.16
"","","","","","","","","","","","","","","","","",1.12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",563.01
"","","","","","","","","","","","","","","","","","","","","","","","","","",-1.42,"","","","","","","","","","","","","","","","","","","","","","","","","","",-0.66,"","","","","","","","","","",215.23
"","","","","","","","","",-0.64,"","","","","",-0.74,-0.96,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.47,"","","","","","","","",-0.5,"",-0.85,289.31
"","","","","","","","","","","","","",-0.67,"","","","","","","","","","","","",0.97,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.85,1.02,"","","",-319.39
"","","","","","","","","","","","","","","","",0.16,"","","","","","","",1.3,"","","",0.21,"","","","","","","","","","","",0.71,"","","","","","","","","","","","","","","","","","","","","","","",-378.63
"","","","","","","",0.47,"","","","","","","","","","","","","","","",-0.57,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.68,"","","","","",-154.6
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",181.85
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14,"","","","","","","","","","","","",-1.42,"","","","","","","","","","","",441.4
"",-2.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-160.46
"","","","","","","","","","","","",-0.28,"","","","","","","",0.85,"","","","","","","","","",1.31,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",124.51
"","","","","","","","",-0.05,"","","","","","","",1.99,"","","","","","","","","","","","","","","","","","","","","","","","","","",0.16,"","","","","","","","","","",-0.61,"","","","","","","","",-0.57,-109.35
"","","","","","","","","","","",1.38,"","","","","","",0.33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.49,"","","","",331.31
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.04,"","","","","","","","","","","","","","","","",164.94
"","","","","","",0.37,"","","","",-0.75,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-343.0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.9,"","","","","","","","","","","","","",-2.15,-0.63,"","","",-124.08
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.21,"","","","","","","","",-0.57,"","","","","","","","","","","","","","","",-0.81,"","",-0.24,"","","","",95.17
"","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.25,"","","","","","","","","",-2.32,"","","","","","","","","","","","","","","","","","","","","","","","","","",193.02
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.05,"","","","","","","","","","","","","","","","","",0.35,"","","","","",-450.15
"","","","",0.69,"","","","","",-1.1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.44,"","","","",231.15
"","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.42,"","","","","","","",957.23
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07,"","","","","","","","","","",0.13,"","","","","","","","","","","","","","","","","","","","","","",140.66
"","","","","","","","","","","","","","","","","","","","","","","",0.99,"","","","","","","","","","","","","","","","","","","","","","",0.21,"","","","","","","","","","","","","","","","",0.44,-345.96
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-30.96
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.12,"","","",-1.6,"","","","","","","","","","","","","","","","","","","","","","","",-133.34
"","","","","","","","","","","","","","",1.0,"","","","","","","","","",0.88,"","","","","","","",0.23,"","","","","","","","","","","","","","","","","",-0.87,"","","",2.01,"","","","","","","","","",50.1
-0.46,"","","",0.23,"",-0.4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.47,"","","","","","","","","",-7.19
"","","","","","","","","","","",-0.86,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-977.56
"","","","","","","","","","","","","","","","","",-0.96,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",407.9
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.37,"","","",0.67,"","","","","","","",2.0,"","",-82.58
"","","","","","","",0.21,"","","","","","","",0.09,"","","","","","","","","","","","",-1.17,"","","","","","","","","",-0.41,"","","","","","","","","","","","","","","","","","","","","","","",-0.53,"",-108.61
0.09,"","","","","","","","","","","","","","","","","","","","","","",-0.39,"","","","","","","","","","","","","","","",1.73,-0.2,"","","","","","","","","","","","","","","","","","","","",1.12,"","",230.32
"","","","",1.98,"","","","",0.7,0.31,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.78,"","","","","","","","","","","","","","","","","","","",-173.67
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.34,"","","","","","",0.67,"","","","","","","","",1.23,"","","","","","","","","","","","",55.22
"","",-0.08,"","",0.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.04,"","",3.3,"","","","","","","","",0.65,"","","","","","","","","",0.22,"","","",-125.05
"","","","","","","","","","","","","","",-2.31,-0.3,"","","","","",0.04,"","","","",0.42,"","","","","","","",-0.04,2.18,-0.33,"","","","","","","","","","","","","","","",0.37,"","",-0.73,"","","","","","","","",-658.45
"","","","","","","","","","","","","","","",-0.62,"","","","","","",1.16,"","","","","","","","","","","","","","","","","","","","",2.05,"","","","","","","","","","",0.47,"","","","","","","","","",333.19
"","","","","","","","","","","","","","","","","","","",-0.24,"","","","","","","",-0.98,"","","","","",-0.33,"",-0.46,"","","","","","","","","","","","","","","","","","","","","","","","",0.39,"","","",920.34
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.31,"","","","","","","","",0.68,"","","","","","","","","","","","","","","","","","","",-211.54
"","","","","","","","","","",-1.77,"",0.6,"","","","","","","","","","","","","","","","","","",-0.48,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",127.43
"","","","","",-0.92,"","","",-0.51,"","","","","","","","","","","","","","","","","",-0.55,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-53.53
"","","","","","","","",-0.53,"","","","","","","","","","","","",-1.07,"","","","","","",-0.91,"","","","",-1.76,0.13,"","","","","",-0.66,"","","","",-0.35,"","","","","","","","","","","","","","","","","","",554.6
0.6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",185.23
"","","","","","","","","","","","","","",0.1,"","","",-0.88,"","","","","","","","","","","","","","","","","","","","","","","",1.73,"","","","","","","","","","",-1.66,"","","","",-1.24,"","","","","",-254.62
"","","","","","",0.18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.76,"",0.04,"","","","","","","","","","",-0.48,"","","","","",-163.13
"","","","","","","","","",0.37,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.29,"","","","","","",-0.75,"","","","","","","","","","","","","",38.63
"","","","","","","","","","","","","","","","",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",510.94
"","","","","",2.48,"","","",-0.87,"","","","","","","","","","","","","","","","","","","","","",0.86,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.85,"","","",170.36
"","","","","","","","","",0.27,"",-1.0,"","","","","","","","","","","","","","","","","","",2.41,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",33.07
"","","","","","","","","","",0.07,"","","","","","","","","","","","","","","","","","","","","","","","","","",0.41,"","","","","","","","","",1.54,"","","","","","","",-0.18,"","","","","","","","",-308.26
1.31,"",-1.47,"","","","","","","","","","","","","","","","","","","","","","",1.25,-0.6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.1,"","","","","","","","",105.13
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.78,"",-0.46,"","","","","","","","","","","","","","","",-0.74,"","","","","","","","","","","","","",44.51
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.32,"","","","","","","","","","","","","","","","","","","","",-34.93
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.08,"","","","",0.52,"","","","","","","","",-0.15,"","","","",-120.15
"","","","","","","","","","","","","","","","","","","","","","",0.9,0.85,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.49,"","",-0.36,"","","","","","","","","",-151.63
"","","","","","","","","","","",-0.96,"","","","","","","","","","","","","","","","","","","","","",-0.66,"","","","","","","","",0.47,"","","","","","","",0.99,"","","","","","","","","","","","","",-227.47
"","","","","","","","",-1.31,"","","","","","","","","",-0.58,"","","","","","","","",-0.99,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-170.64
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.63,"","","","","","","","","","","","","","","","","","","","","","","","","","","",381.71
"","","","","","","","","",-0.55,"","","","","","","","","","","","","","","","","","","","","","","",1.35,"","","","","","","","","","","","","","","","","","",1.42,"","","","","","","","","","","",205.12
"","","","","",-1.37,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.26,"","","","","","","","",-147.44
"","",0.22,"","","","","","","","","","","","","","","","","","","","","","",-0.18,"","","","","","","","","","","","","","","","","","","","","","","","",-0.76,"","","","","","","",0.33,"","","","","",-38.78
"","",-1.75,"","","","",1.35,"","","","","","","","",0.71,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.61,"",1.61,"","","",-713.28
"","","","","","","","","","","","","","",-0.65,-1.56,"","","","","","","","","","","","","","","","","","","",0.05,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.15,-220.52
"","","","","","","","","","","","","","","","","","",0.34,"","","","",-0.49,"","","","","","","","","","","","","","","","",0.54,"","","","","","","","","",-2.04,"","","","","","","","","","",-0.05,"","",280.1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18,"","","","","","","","","","","","","","","","","","","","","","",-120.67
"","","","","","","","","","","","","","","","","","","","","","","","",-0.91,"","","","","","","","","","","","","","","","","","","","","","","","",-0.39,"","","","","","","","","","","","","","",600.78
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.86,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",502.51
