"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","X_24","X_25","X_26","X_27","X_28","X_29","X_30","X_31","X_32","X_33","X_34","X_35","X_36","X_37","X_38","X_39","X_40","X_41","X_42","X_43","X_44","X_45","X_46","X_47","X_48","X_49","X_50","X_51","X_52","X_53","X_54","X_55","X_56","X_57","X_58","X_59","X_60","X_61","X_62","X_63","X_64","X_65","X_66","X_67","X_68","X_69","X_70","X_71","X_72","X_73","X_74","X_75","X_76","X_77","X_78","X_79","X_80","X_81","X_82","X_83","X_84","X_85","X_86","X_87","X_88","X_89","X_90","X_91","X_92","X_93","X_94","X_95","X_96","X_97","X_98","X_99","X_100","X_101","X_102","X_103","X_104","X_105","X_106","X_107","X_108","X_109","X_110","X_111","X_112","X_113","X_114","X_115","X_116","X_117","X_118","X_119","X_120","X_121","X_122","X_123","X_124","X_125","X_126","X_127","target"
"","","","","","","","","","","","","","","","","","","","","","",0.64,"","","","",-0.28,"","","","","","",0.78,"","","","","","","","","",1.34,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.69,"","","","","","","","","","","",-1.08,"","","",1.12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",303.0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.51,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-190.81
"","","","",-1.49,"","","","","","","","","",-0.9,"","","","","","","","","","","","","","","","","","",0.7,"","","","","","",-0.84,"","","","","",-0.53,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.35,"","","","",-0.27,"","","","","","","","","","","","","","","","","",1.34,"","","","","",-893.47
"","","","","","","",-1.98,"","","","","","","","","","","","","","","","","","","","","","","",-0.33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.07,"","","","","","","","","","","","","","","",0.13,"",-0.01,"","","","","","","","","","","","",-0.07,"","","",-0.53,"","","","","","","","","","","","","","","","","","","","","","","","","",682.3
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.04,0.65,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-354.65
"","","","","","","","","","","","","","","","","","","",1.8,"","","","","","","","","","","","","","","","","","","","","",-0.03,"","","","","","","","","","","","","","","",-2.35,"","","","","","","","","","","","","","","",-0.35,"","","","","","","","","","","","","","","","","","","","",0.09,"","","","","","",-0.32,"","","","","","","","","","",0.19,"","","","","","","","","","","",0.23,"","","",-263.17
"","","","","","","",-0.61,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.35,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.39,"","","","","","","","","","","","","",-0.86,"","","",0.71,"","","","","","","","","","","","","",0.67,"","","","","","","","","","","","",660.5
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.8,"","","","","","","","","","","","","","","","","","","",1.02,"","","","","","","","","","",-0.69,"","","","","",2.66,"","","","","",-0.1,"","","","","",1.1,2.2,"","","","","","","","","","","","","","","","","","","","","","","",-0.22,"","","","","","","","","","","","","","","","","","","","",0.7,"",-242.17
"","","","","","","","","","","",-0.39,"","","","","","","","","","","","","","","","","","","","","","","","","","",-0.19,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",716.42
"","","","","","","","","","","","","","","","",0.55,"","","","","","","","","",-1.28,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.31,1.62,"","","","","","","","","",0.84,"","","","","","","","","","","","","",-0.83,"","","","","","","","","","","","","","","","",0.5,"",1.37,1.36,"","","",-0.34,"","","","","","","","","","","","","",-346.87
"","","","","","","","","","","","","","","","","","","",-0.24,"","","","","","",-0.32,"","","","","","","","","","","","",0.71,"","","","","","","","","","","","","","","","","","","","","",0.19,"","","","","","","",0.94,"","","","",-1.66,"","",1.64,"","","","","","","","","","","",-1.11,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-21.52
"","","","",-0.78,"","","","","","","","","","",-0.79,"","","","",-1.12,"","","","","","","","","","","","","","","","","",-1.68,"","","","","","","","","","","","",-1.4,"","","","","","","","","","","","","","","","","","","","","",1.27,"","","","","","",-0.08,"","","","",-0.73,"","","","",-1.77,"","","","","","","","","","","","","","","","","","","","","","","","","",1.08,"",-0.67,"","","","","","",-1.44,"","",-905.64
"","",-0.56,"","","","","","","","","","","","","","","","","","","","","","","",0.69,"","","","","","","","","","","","","","","","","","","","","","","",0.99,"","","","","","","","","","",-0.5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-205.33
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.25,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11,"","","","","","","","","","","","","","","","","","","","","","","","","","",0.17,"","","","","","",-1.19,"","","","","","","","","","","","","","","","","","","",-75.78
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.21,"","","",1.97,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.29,"","","","","","","","","","","","","","","",-1.54,"","","","","","","","","","","","","","","","","","","","","","","",0.27,"","","","","","","","","","",0.7,"","","","","","","","","","","","","",875.6
"","","","","","","","","","","","","","","","",0.72,"",0.92,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.13,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.08,"","",-0.7,"","","","","","","","","","","","","","","","","","","",-369.58
"","","","",0.27,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.25,"","","","","","","","","","",-2.22,"","","","","","","","","","","","","","","","","",0.02,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.44,"","","","","","",0.7,"",0.31,"","","","","","","","","","","","","",-0.71,"",0.7,"","","","","","","","","",-668.42
"","","","","","","","","","","","",-0.02,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.09,0.53,"","","",0.76,"","","","","","","","","","","","","","","","","","","","","","","",-1.09,"","","","","","","",-0.48,"","","","","",0.44,"","","","","","","","","","","","","","","","","",-244.11
"","","","","","",-0.75,"","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,"","","","","","","",-0.41,"","",0.63,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.32,"","","","","","","","","","","","","","",-1.92,"","","","","","","","","","","","","","","","","","","",-0.2,"","","","","","","","","",215.37
"","","","","","",0.04,"","","","","","","","",-1.92,0.22,"","","","","","","","","","",2.38,"","","","","","","","","","","","","","","","","","","","","","",0.94,"",-1.47,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.05,"","","","","","","","","","","","","","","","","","","","","","","","",1.07,"","","","","","","","","","","","","","","","",1.11,"","",303.51
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.58,"","","","","","","","","","","","","","",-0.99,"","","","","","","","","","","","","","","","",-0.36,"","","","","","","","","","","","","","","",0.76,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-455.92
"","","","","","","","","","","",-0.15,"","",-0.63,"","","","","","","","","","","","",0.08,-0.96,"","","","","","","","","","","","",-1.24,"","","","","","","","",-0.64,"","","","","","","","","","","","","","","","","","","","","","","","",-0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.06,-32.3
"","","","","","","",1.23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.26,"","","","","","","","","","","","","","","","","","","","","","","","","","",0.43,"","","","","","","","","","","","",-2.31,"","","","","","","","","",0.77,"","","","","","","","","","","",0.46,"","","","","","","","","","","","","","","","","","","",0.28,"",1.13,"","","",307.62
"","","","","","","","","","","","",2.97,"","","","","","","","","","","","","","","","","","","","","","","","",1.69,"","","","","","","","","","","","",0.93,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-870.33
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.41,"","","","","","","","","","","","","","","",-0.16,"","","","","","","","","","","","","","","","","","","","","",-1.73,"","","","","","","","","","","","","","","","","","","","","","","","","",-0.39,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.76,"","",-93.18
"","","","","","","","","","","","","","","","","","","","","","","","","",-1.19,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.29,"","","","","","","","","","","","","","","","","","","","","",1.83,"","","","","","","","","","","","","","","","","","","","","","","","","","",0.37,"","","","","",-0.7,"","","","","","","","","","","","","","","","","","","",585.13
1.95,"","","","","","","","","","","","","","","","","","","","","","",0.01,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.27,"","","","","","","","","","","","","","","","","","",-0.87,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.86,"","","","","","","","","","","","","","","","","",66.92
"","","","","","","","","","","","","","","","","","","","","","","","","",2.15,"","","","","",1.06,"","","","","","",1.58,"","","","","","","",0.94,"","","","","","","","","","","","","","","","","",0.25,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.77,"","","","","","","","","","","","","","","","","",-1.54,"","","","","",0.66,"","","","","","","","","","","",541.95
"","","","",-0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.81,"","","","","","","","","","","","","","",-0.39,"","","","","","","","","","","","","","","","","","","","",0.24,"","","","","","","","","","",0.16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-279.64
"","","","","","","","","","","","","","","","","",0.38,"","","","","","","","","","","","","","","",1.46,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.6,"","","","","","","","","","",-1.41,"","","","","","","","","","","","","","","","",359.56
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.44,"","",0.26,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.18,"","",-1.16,"","","","","",1.19,"","","","","","","","","",-1.53,"","","","","","","","","","","","","","","","","","","","",-2.06,"","","","","","","","",-498.21
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.72,"","","","","","","","","","","","",0.38,"",-0.04,"","","","","","","","","","","","","","","","","","","",0.38,"","","","","","","","","","","","","","","","","","","","",-0.16,"","","","","","","","","","","","","","",-1.84,"",1.24,"",-0.5,"","","","","","","","","","","","","","","","","","","","","","","","",379.5
"","","","","","","","","","","","","","","","",0.03,"","","","","","","","","","","","","","","","","","",1.24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.07,"","","","","","","","","","","","",-1.34,"","","","",0.22,"","","","","","","","","","","","","","","","","","","","","",0.88,"","","","",-0.58,0.88,"","","","","","","","",0.73,"","","","","","","",743.2
"","","","","","",-0.08,"","","","","","","","","","","","","","",1.42,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.02,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.24,"","","","","","","","","","","","","","",0.85,"",0.59,-1.69,"","","","","",2.04,"","","","","","","","","","","","","","","","",0.61,541.82
"","","",-1.4,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.13,"","","","","","","","","","","","","","","","","","","","","","",-1.23,"","","","",0.13,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.34,"","","","","","","",0.77,"",-2.55,"","","","","","","","","","","","","","",-1.23,"","","","","","","","","","","","","","",-0.53,-135.06
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.8,"",-0.37,"","","","","","","",-0.1,"","","","","","","","","","",1.58,"",-1.83,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16,103.18
"","","","","","",2.07,"","","","","","",-0.06,"","","","","","","","","","","","","","","","","","","",-2.27,"","","","","","","","","","","","","","","","","","","","","","","",0.66,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.24,0.12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",63.33
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.44,"","","","","",0.51,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.94,"","","","","","","","","","","","","","","","","","","","","","","","",15.92
0.84,"",1.02,"","","","","",0.25,"","","","","","","",1.26,"","","","","","","","","","","","","","","","","","","","","","","","",-0.76,"","","","","","","","","",0.78,-0.01,"","","","","","","","","","","","","","","","","","","","","","","","","","",0.01,"","","","","","","","","","","","","","","","","","","","","","","","",-2.94,"","","","","","","","","","","","","",-0.34,"",-1.77,"","","","","","","",-133.39
"","","","","","","","","","","","","","",0.24,"","",-0.2,"","","","","","",0.7,"","","","","","","","","",-0.17,1.4,"","","","","","","","",-0.07,"","","","","","","","","","","","","","","","","",1.54,"","","","","","","","","","",1.69,"","","","","","","","","","","","","","","","","","","","","",0.38,"","","","","","","","","","","","","","","","",-1.07,0.15,"","","","",-0.1,"","","","","","","","","",106.81
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.35,"","","","","","","","","","","","","","","","","","","","","","","","","","",-0.18,"","","","","","","","","","","","","",0.94,"","","","",-530.99
"","","","","","","","","","",0.07,"","","","","","","","","","","","","","",-1.27,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.69,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.53,"","","","","","","","","","","","",0.79,"","","","",-728.73
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.09,"","",-1.24,"","","","",0.81,"","","","","","","","","","","","","","","","","","","","","",-1.17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.21,"",73.35
"","","","","","","","","","","","",-1.13,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.09,"",-34.0
"","","","","","","","","","","",1.9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.87,"","","","","","","","","","","","","","",0.88,"","","","","",-0.36,"","",2.69,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.37,"","",-0.73,"","","","","",-0.86,"","",-101.79
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.12,"","","","","","","","",0.64,"","","","","","","","","","","","","",0.74,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.4,-0.25,"","","","","","","","",0.34,"","","","","","","","","","","","","","","","","","","","","","",-357.49
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.13,"","",-1.51,"","","","","",-0.64,"","","","","","","","","","","","","","","","",2.0,"","","",-0.67,"","","","","","","","","","","","","","","","","","","","","","","","","",1.29,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.46
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.47,"",0.77,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13,"","","","","","","",-0.14,"","",-0.16,"","","","","","","",0.8,"","","","","","",-0.18,"","","","","","","","","","","","","","","","","","","","","","",752.56
"","","","","","","","","","","","","","","","",-0.38,"","","","","","","","",0.1,"","","","","","","","","","","","","","","","","","","","","","","","",1.23,-0.21,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.26,"","","","","","","","","","","","","","","","","",0.89,"","","","","","","","","","","","","","","","","","","","",0.14,440.41
"","","","","","","","","","","","","","","","","","","","",1.39,"","","","","","","","","","","","","","","","","","","","","",0.17,"","","",0.2,"","","","","","","","","","",-1.78,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.51,"","","","","","","","","","","","",-1.57,"","",1.62,"","","","","","","","","","","","","","","","","",-48.58
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.36,"","","","","","","","","","","","","","","","",-0.39,"","","","","","","","","","","","","","","","",0.6,"","","","","","",0.55,"","","","","","","","","",-1.5,"","","","","","","","","","","","","","","",-0.82,"",-0.85,"","","","","","","","","","","",0.58,"","","","","","","","","","","","","",-464.49
"","","","","","","","","","","","",-0.65,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.93,0.56,"","","","","","","","","","","","","","","","","",0.15,-0.95,"","","","","","","","","","","","","","","",-0.69,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.6,"",-301.43
"","","","","","","","",-0.26,"","","","","","","","","","","","","","","","","","","","",-0.12,-0.16,"","",-0.24,"","","","","","","","","","","","","","","","","","",-0.37,"","","","","","","","","","","","","","","","","","","","",-2.4,"","","","","","","","","","","","",-0.44,"","",1.14,"","","",-0.46,"","",0.75,0.86,"","","","","","","","","","","","","","","","","",0.48,-1.29,"","","","","","","","","","","",-566.64
"","","","","","","","","","","","","","","","","","","","",-0.99,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.34,"","",1.44,"","","",0.68,-0.22,"","","","","","","","","","","","","","","","","",-1.05,"","","","","","","","","","","","","","","","","","","","","",-264.3
"","","","","","","","","","","","","","","","",1.09,"","","","","","",-0.77,"","","","","","","","","","","","","","","",-1.29,"","","","","","",-1.56,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.88,"","","","","","","","","","","","","",-0.23,"","","","","","","","","","","","","","","","","","",-1.04,"","","","","","","","",238.17
"","","","","","","","","","","","","","","","","","","",0.02,"","","","","","","","","","",-0.04,"","","","","","","","","","","","","","","",-0.2,"","","","","","","","","","","","","",0.47,"","","","","","","","","","","","","","","",0.98,"","","","","","","","","","","","","","","","","","","","","","","","","",0.75,"","","",0.64,"","","","","","","","",-0.79,"","","","","","","",0.5,"","","",0.45,-480.07
"","","","","","","","","","","","","","","","","","","","","","","","","","",0.48,"","","","","","",-0.3,"","","","","","","","","","","",0.65,"","","","","",-0.45,"","","",-2.19,"","","","","","","","","",-0.74,"","","","","","","",-0.33,"","","","","","","","",-0.03,"","","",0.88,"","","","","",-1.44,"","","","","","","","","","","","","","","",0.01,"","","","","","","","","","",0.85,0.41,"","","","","","","",-461.08
"","","","","","","","","","","","","","","","","","","","",-2.19,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.66,"","","","","","","","","","",544.38
"","","","","","","","","","","","","","","","","","","",1.13,"","","","","","","","",-0.72,"",1.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.51,-0.2,"","","","","","","","","","","","","","","","","",-2.35,"","","","","","",0.23,"","","","","","","","","","","","","","","","","","","","","","","","",-0.13,0.43,"","","","",-0.82,"","",-111.35
"","",-0.52,"","","","","","","",1.06,"","","","","","","","","","","","","","",0.63,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.33,-0.7,"","","","","","",-0.61,"","","","","","","","","","","","","","","","",0.24,-0.73,"","","","","","","","","","","","","","",1.67,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",550.26
-0.97,"","","","","","","","","","","","","","","","","",-1.16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-180.78
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.44,"","","","",-1.15,"","","","","",0.53,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.72,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.55,"","",0.96,"","",-0.03,-574.65
"","",0.06,-0.49,0.25,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.91,"","","","","","","","","","","","","","","","","","","","",-0.56,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-77.65
"","","","","","",-0.43,"","","","","","","","","","","","","","","","","","","","","","","","","","",1.62,"","","","","",-1.24,"","","","",-1.95,"","",0.58,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.31,"","",0.24,"","","","","","","","","",201.68
"","","","","","","","","","","","","","","",4.07,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.67,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.06,"","","","","","","","","","","","","","","",-0.11,"","","","","","","","","","","","","","","","","","","","","","","","","","",2.52,"","","","","","",114.03
"","","","","","","","","","","",-0.39,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.26,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15,"","","","","","","","","","","","","","","","","","","",-0.48,"","","","","",1.41,"","","","","","","","","","",0.36,"","","","","","",0.72,"","","","","","","","","","","","","","",118.22
"","",-1.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.79,"","","","","","","","",-0.98,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.19,"","","","","","","",-439.88
"","","","","","","","","","","","","","","","","","","","","","","","","","",1.49,"","","","","","","","","","","","","","","","","","","",1.02,"","","","",1.53,"","","","","","","","",1.63,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,"","","","","","","","","","","","","","","",-1.0,"","","","","","","","","","",213.76
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.72,"","","","","","","","","","","","","","","","","",1.61,"","","","","","","","","","","","","","","","","","","","","",-1.45,"","","","","","","","",0.04,"","","","",450.38
