"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","X_24","X_25","X_26","X_27","X_28","X_29","X_30","X_31","X_32","X_33","X_34","X_35","X_36","X_37","X_38","X_39","X_40","X_41","X_42","X_43","X_44","X_45","X_46","X_47","X_48","X_49","X_50","X_51","X_52","X_53","X_54","X_55","X_56","X_57","X_58","X_59","X_60","X_61","X_62","X_63","target"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.92,"","","","","","","","","","","","","","","","","","","",-1.04,"","","","","","","","","","",3.24,"",13
"","","","","","","","","","","",4.18,"","","","","","","","","","","","","","","","","","","","","","","","","","",-1.26,"","","","","","","","","","","","","","","","","","","","","","","","","",12
"","","","","","","","","","","","","","","","",1.11,"","","","","","","","","",3.58,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7
"","","","","","","","","","","","","","","","","","","",-0.6,"","","","","","",1.42,"","","","","","","","","","","","",-16.6,"","","","","","","","","","","","","","","","","","","","","",0.75,"","",8
"","","","",0.15,"","","","","","","","","","",-1.19,"","","","",-0.01,"","","","","","","","","","","","","","","","","",0.82,"","","","","","","","","","","","",0.01,"","","","","","","","","","","","",10
"","",2.33,"","","","","","","","","","","","","","","","","","","","","","","",-2.49,"","","","","","","","","","","","","","","","","","","","","","","",-1.47,"","","","","","","","","","",3.58,"","",2
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.46,"","","","","","","","","","","","","","","","","","","","","","","",5
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13,"","","",-4.38,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.23,11
"","","","","","","","","","","","","","","","",-7.38,"",-3.27,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.16,12
"","","","",-0.52,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.6,"","","","","","","","","","",14.39,"","","","","","","","","","","","","","","","","",14
"","","","","","","","","","","","",0.5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10
"","","","","","",-0.51,"","","","","","","","","","","","","","","","","","","","","","","","","","",3.68,"","","","","","","",-0.11,"","",-1.74,"","","","","","","","","","","","","","","","","","","",0
"","","","","","",0.91,"","","","","","","","",0.65,-2.57,"","","","","","","","","","",2.28,"","","","","","","","","","","","","","","","","","","","","","",-1.47,"",-0.97,"","","","","","","","","","","",10
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.56,"","","","","","","","","","","","","","",1.37,"","","","","","",1
"","","","","","","","","","","",5.45,"","",0.3,"","","","","","","","","","","","",0.49,-0.07,"","","","","","","","","","","","",0.1,"","","","","","","","",0.31,"","","","","","","","","","","","","",8
"","","","","","","",0.66,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.4,"","","","","","","","","","","","","","","","","","","","","","","",9
"","","","","","","","","","","","",-0.08,"","","","","","","","","","","","","","","","","","","","","","","","",4.01,"","","","","","","","","","","","",-6.72,"","","","","","","","","","","","","",3
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-4.6,"","","","","","","","","","","","","","","",0.95,"","","","","","","","","","","","","","",15
"","","","","","","","","","","","","","","","","","","","","","","","","",-2.89,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1.1,"","","","","","","","","","",8
-0.56,"","","","","","","","","","","","","","","","","","","","","","",-0.08,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.51,"","","","","","","","","","","",7
"","","","","","","","","","","","","","","","","","","","","","","","","",0.52,"","","","","",0.67,"","","","","","",2.52,"","","","","","","",-1.9,"","","","","","","","","","","","","","","","","",12
"","","","",-0.63,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.73,"","","","","","","","","","","",3
"","","","","","","","","","","","","","","","","",0.73,"","","","","","","","","","","","","","","",3.01,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.62,"","",0.03,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",14
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.27,"","","","","","","","","","","","",0.66,"",-0.59,"","","","","","","","","","","","","","","","","","","",6.39,15
"","","","","","","","","","","","","","","","",-2.58,"","","","","","","","","","","","","","","","","","",0.17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",12
"","","","","","",-0.27,"","","","","","","","","","","","","","",-1.78,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4.81,"","","","","","",13
"","","",0.84,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.04,"","","","","","","","","","","","","","","","","","","","","","",-1.05,"","","","",1.4,"","","","",5
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.42,"",-0.99,"","","","","","","",-0.89,"","","","","","","","","","",0.7,"",-2.14,"","","","","","",0
"","","","","","",0.54,"","","","","","",2.16,"","","","","","","","","","","","","","","","","","","",0.62,"","","","","","","","","","","","","","","","","","","","","","","",6.24,"","","","","","",13
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.29,"","","","","",2.18,"","","","","","","","","","","","","","","","",9
0.73,"",-2.17,"","","","","",1.43,"","","","","","","",0.43,"","","","","","","","","","","","","","","","","","","","","","","","",1.15,"","","","","","","","","",0.47,0.96,"","","","","","","","","","","",8
"","","","","","","","","","","","","","",0.58,"","",1.41,"","","","","","",2.0,"","","","","","","","","",-0.72,-0.78,"","","","","","","","",-1.32,"","","","","","","","","","","","","","","","","",0.3,"",0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5
"","","","","","","","","","",0.24,"","","","","","","","","","","","","","",2.32,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.73,"","",0.55,"","","","",-2.59,"","","","","","","","","","","","","","","","","","",8
"","","","","","","","","","","","",-0.8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.22,"","","","","","","","","","","",12
"","","","","","","","","","","",0.66,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07,"","","","","",14
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.43,"","","","","","","","",-0.82,"","","","","","","","","","","","",0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-5.12,"","",2.51,"","","","","",0.98,"","","","","","","","","","","","","","","","",2.71,"","","",-0.95,"","",1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.12,"",1.28,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3
"","","","","","","","","","","","","","","","",-1.46,"","","","","","","","",-0.98,"","","","","","","","","","","","","","","","","","","","","","","","",-0.88,0.63,"","","","","","","","","","","","",1
"","","","","","","","","","","","","","","","","","","","",3.77,"","","","","","","","","","","","","","","","","","","","","",0.01,"","","",22.52,"","","","","","","","","","",-1.19,"","","","","","",2
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.15,"","","","","","","","","","","","","","","","",0.82,"","","","","","","","","","","","","",14
"","","","","","","","","","","","",1.17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.13,30.59,"","","","","","","","","","","","","","","","","",8
"","","","","","","","",-1.01,"","","","","","","","","","","","","","","","","","","","",0.67,-0.16,"","",-3.88,"","","","","","","","","","","","","","","","","","",0.15,"","","","","","","","","","","",14
"","","","","","","","","","","","","","","","","","","","",2.57,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.7,"","","","","","","","","","","","","",5
"","","","","","","","","","","","","","","","",-2.49,"","","","","","",-0.37,"","","","","","","","","","","","","","","",15.92,"","","","","","",-4.74,"","","","","","","","","","","","","","","","","",4
"","","","","","","","","","","","","","","","","","","",0.31,"","","","","","","","","","",-6.1,"","","","","","","","","","","","","","","",14.68,"","","","","","","","","","","","","",0.77,"","","",8
"","","","","","","","","","","","","","","","","","","","","","","","","","",-0.74,"","","","","","",-0.29,"","","","","","","","","","","",2.95,"","","","","",-2.16,"","","",1.33,"","","","","","","","",9
"","","","","","","","","","","","","","","","","","","","",6.35,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7
"","","","","","","","","","","","","","","","","","","",0.62,"","","","","","","","",-0.27,"",-0.05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3
"","",-0.98,"","","","","","","",0.18,"","","","","","","","","","","","","","",-1.63,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.49,-1.64,"","","","",5
-0.08,"","","","","","","","","","","","","","","","","",0.35,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.45,"","","","",-0.25,"","","","","",-0.08,"","","","","","","","","","","","","","","","","","","","","",9
"","",-4.6,1.55,-0.89,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.74,"","","","","","","","","","","","","","","","","","",11
"","","","","","",2.35,"","","","","","","","","","","","","","","","","","","","","","","","","","",3.58,"","","","","",2.47,"","","","",-0.45,"","",-4.42,"","","","","","","","","","","","","","","","",7
"","","","","","","","","","","","","","","",-0.37,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.43,"","","","","","","","","","","","","","","","",9
"","","","","","","","","","","",1.82,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1.69,"","","","","","","","","","","","","","","","","","","","","","","","",2
"","",6.83,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14
"","","","","","","","","","","","","","","","","","","","","","","","","","",1.75,"","","","","","","","","","","","","","","","","","","",5.78,"","","","",-0.84,"","","","","","","","",-0.92,"","","",14
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-23.96,"","","","","","","","","","","","","","","","","","","","","","","","",7
"",0.68,"","","","","","","","","","","","","","","","","","",-1.76,"","","",-3.91,"","","","","","","","","","","","","","","","","","","","",-5.16,"","","","","","","","","","","","",-0.37,"","","",-0.7,"",5
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.37,"","","","","","","","","","",15
"","","","","","",1.1,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2.25,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15
"","","","","","",-1.74,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.16,"","","","","","","","","","","","","",0.05,"","","",4.55,"",0.04,"","","","","",4
"","","","","","","","","","","",1.8,"","","","","","","",0.46,"",1.18,"",0.87,"","","","","","","","","","",0.14,"","","","","","",0.18,"","","","",-8.93,"","","",2.93,"","","","",0.15,"","","","","","","","",13
"","","","","","","","",-5.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.43,"","","",0.18,"","","","","",1.44,"","","","","","","","","",0.58,"","","",6
"","",-4.86,"","","",0.61,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.74,"","","","","","","","",3.86,"","","","","","",12
"",-0.57,"","","","","","","","","","","","","","","","","","","",2.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.38,"","","","","",3.72,"","",4
"","","","","","","","","",4.69,"","","","","","",-3.82,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5
"","","","","",0.3,"","",-1.54,"","","","","","","","","","",-0.27,"","","","","","","","","","","","","","","","","","","",-14.71,"","","","","","","","","","","","","","","",0.48,"","","","","","","","",8
"","","","","",-0.23,"","","","","","","","","","","","","","",0.22,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.94,"","","","","","","","","","","",0.17,"","","",14
"","","","","","","","","","","","","","","","",-0.64,"","","","","","",-0.95,"","","","","","","","","",3.41,"","","","","","","","","","","","","","","","","","","","","","","",-3.94,"","","",1.93,"","",9
"","","",-1.59,"","","","","","","","","","","","","","","","","","","","","","","","",0.92,"","","","","","","",-4.23,"","","","","","","","","","","","","","","","","","","","","","","","","","","",7
"","","","","","",-0.2,"","","","","","",-7.25,"","","","","","","","",0.67,"","","","","",-0.12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.22,"","","","","",9
"","","","","","","","","","","","","","","","",0.17,"","","","","","","","","","","","","","","","","","","","","",-0.99,"","","","","","","","","","","","","","","","","","","","","","","","","",12
"","","","","","","","","","","","","","","","","",1.24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14
"","","","","","","","","","","","","","","","","","","","","","","","","","",-7.04,"","","","","","","","","","","","","","","","","","","","","","","","","","",-4.78,"","","","","","","","","","",13
"","","","","","","","","",-2.1,"","","","","",0.36,-4.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.17,"","","","","","","","",-1.04,"",1.36,5
"","","","","","","","","","","","","",-2.75,"","","","","","","","","","","","",4.41,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.06,0.35,"","","",5
"","","","","","","","","","","","","","","","",0.32,"","","","","","","",-3.84,"","","",-0.05,"","","","","","","","","","","",2.36,"","","","","","","","","","","","","","","","","","","","","","","",11
"","","","","","","",-1.12,"","","","","","","","","","","","","","","",0.69,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.65,"","","","","",10
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.27,"","","","","","","","","","","","",-0.87,"","","","","","","","","","","",10
"",-0.46,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6
"","","","","","","","","","","","",0.1,"","","","","","","",-0.88,"","","","","","","","","",0.36,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10
"","","","","","","","",11.33,"","","","","","","",-2.45,"","","","","","","","","","","","","","","","","","","","","","","","","","",-0.95,"","","","","","","","","","",-0.46,"","","","","","","","",-6.45,10
"","","","","","","","","","","",-0.74,"","","","","","",4.14,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.57,"","","","",14
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5.09,"","","","","","","","","","","","","","","","",10
"","","","","","",0.02,"","","","",-1.15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.1,"","","","","","","","","","","","","",-1.83,-0.05,"","","",9
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.64,"","","","","","","","",-1.44,"","","","","","","","","","","","","","","",-2.63,"","",-1.24,"","","","",2
"","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.96,"","","","","","","","","",-2.7,"","","","","","","","","","","","","","","","","","","","","","","","","","",12
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.44,"","","","","","","","","","","","","","","","","",0.6,"","","","","",2
"","","","",1.64,"","","","","",2.4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5.55,"","","","",8
"","","","","","","","","","","","","","","","","","","","","","","","","","",-1.12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.79,"","","","","","","",6
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.39,"","","","","","","","","","",-0.48,"","","","","","","","","","","","","","","","","","","","","","",9
"","","","","","","","","","","","","","","","","","","","","","","",-1.1,"","","","","","","","","","","","","","","","","","","","","","",-11.03,"","","","","","","","","","","","","","","","",3.68,4
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.11,"","","",0.12,"","","","","","","","","","","","","","","","","","","","","","","",7
"","","","","","","","","","","","","","",-0.92,"","","","","","","","","",-8.45,"","","","","","","",1.0,"","","","","","","","","","","","","","","","","",0.64,"","","",0.63,"","","","","","","","","",10
-0.58,"","","",0.65,"",0.07,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.37,"","","","","","","","","",0
"","","","","","","","","","","",1.59,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"","","","","","","","","","","","","","","","","",-1.02,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.25,"","","",-5.25,"","","","","","","",0.97,"","",2
"","","","","","","",0.78,"","","","","","","",0.14,"","","","","","","","","","","","",-0.26,"","","","","","","","","",-2.5,"","","","","","","","","","","","","","","","","","","","","","","",4.34,"",3
1.71,"","","","","","","","","","","","","","","","","","","","","","",-0.57,"","","","","","","","","","","","","","","",-5.62,-0.27,"","","","","","","","","","","","","","","","","","","","",2.89,"","",8
"","","","",-0.01,"","","","",-2.45,-0.02,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.85,"","","","","","","","","","","","","","","","","","","",6
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.03,"","","","","","",-0.23,"","","","","","","","",0.03,"","","","","","","","","","","","",4
"","",-1.31,"","",2.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.77,"","",1.38,"","","","","","","","",-2.99,"","","","","","","","","",0.01,"","","",11
"","","","","","","","","","","","","","",1.42,-0.75,"","","","","",2.46,"","","","",1.65,"","","","","","","",-0.53,-0.08,-0.33,"","","","","","","","","","","","","","","",0.1,"","",0.75,"","","","","","","","",4
"","","","","","","","","","","","","","","",-0.09,"","","","","","",-0.79,"","","","","","","","","","","","","","","","","","","","",-0.82,"","","","","","","","","","",0.02,"","","","","","","","","",15
"","","","","","","","","","","","","","","","","","","",-0.23,"","","","","","","",1.56,"","","","","",-5.58,"",-0.01,"","","","","","","","","","","","","","","","","","","","","","","","",1.81,"","","",8
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.03,"","","","","","","","",-2.13,"","","","","","","","","","","","","","","","","","","",12
"","","","","","","","","","",0.92,"",1.63,"","","","","","","","","","","","","","","","","","",-2.84,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9
"","","","","",-5.49,"","","",1.6,"","","","","","","","","","","","","","","","","",0.87,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9
"","","","","","","","",-5.17,"","","","","","","","","","","","",3.01,"","","","","","",0.83,"","","","",2.09,-0.89,"","","","","",1.01,"","","","",1.29,"","","","","","","","","","","","","","","","","","",6
-0.62,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12
"","","","","","","","","","","","","","",-0.17,"","","",1.18,"","","","","","","","","","","","","","","","","","","","","","","",-0.42,"","","","","","","","","","",-1.26,"","","","",0.09,"","","","","",5
"","","","","","",1.49,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.54,"",-0.91,"","","","","","","","","","",-0.28,"","","","","",1
"","","","","","","","","",-8.47,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.76,"","","","","","",-2.98,"","","","","","","","","","","","","",13
"","","","","","","","","","","","","","","","",3.36,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12
"","","","","",-1.1,"","","",0.47,"","","","","","","","","","","","","","","","","","","","","",0.84,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.6,"","","",10
"","","","","","","","","",4.42,"",4.56,"","","","","","","","","","","","","","","","","","",-1.56,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12
"","","","","","","","","","",-0.19,"","","","","","","","","","","","","","","","","","","","","","","","","","",-8.35,"","","","","","","","","",-3.49,"","","","","","","",2.04,"","","","","","","","",12
0.5,"",-0.4,"","","","","","","","","","","","","","","","","","","","","","",-0.23,-3.04,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.74,"","","","","","","","",11
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.28,"",3.15,"","","","","","","","","","","","","","","",2.43,"","","","","","","","","","","","","",7
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.11,"","","","","","","","","","","","","","","","","","","","",10
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.64,"","","","",5.86,"","","","","","","","",1.82,"","","","",1
"","","","","","","","","","","","","","","","","","","","","","",0.87,-0.45,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.21,"","",0.67,"","","","","","","","","",2
"","","","","","","","","","","",0.64,"","","","","","","","","","","","","","","","","","","","","",1.57,"","","","","","","","",0.84,"","","","","","","",-3.89,"","","","","","","","","","","","","",11
"","","","","","","","",5.66,"","","","","","","","","",-0.31,"","","","","","","","",-0.4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-2.07,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2
"","","","","","","","","",-0.23,"","","","","","","","","","","","","","","","","","","","","","","",2.88,"","","","","","","","","","","","","","","","","","",-0.59,"","","","","","","","","","","",15
"","","","","",4.55,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.66,"","","","","","","","",2
"","",1.51,"","","","","","","","","","","","","","","","","","","","","","",-0.02,"","","","","","","","","","","","","","","","","","","","","","","","",2.89,"","","","","","","",-0.66,"","","","","",2
"","",-4.36,"","","","",2.26,"","","","","","","","",-4.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.31,"",0.18,"","","",1
"","","","","","","","","","","","","","",0.01,-0.02,"","","","","","","","","","","","","","","","","","","",0.8,"","","","","","","","","","","","","","","","","","","","","","","","","","","",-4.17,10
"","","","","","","","","","","","","","","","","","",-3.07,"","","","",1.73,"","","","","","","","","","","","","","","","",-3.39,"","","","","","","","","",5.26,"","","","","","","","","","",-1.53,"","",15
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.51,"","","","","","","","","","","","","","","","","","","","","","",12
"","","","","","","","","","","","","","","","","","","","","","","","",3.14,"","","","","","","","","","","","","","","","","","","","","","","","",0.11,"","","","","","","","","","","","","","",14
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.02,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14
"","",-1.07,"","","",0.57,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-5.26,"","","","","","","","","",3.33,3.02,"","","","","","","","","","","","","","","",6
"","","","","","","","","","","","","","","",0.13,"","","",-0.52,"","","","","","","","","","","","","","","","","","","",-12.05,"","","","","",-2.26,"","",2.81,"","","","","","","","","","","","","","","",14
"","","","","","","","","","","","","","","","","","","","","",0.67,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15
"","","","","","","","","","","","","","","","","","","",0.92,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
